Plot_Name,Chart_Title,Chart_Status,Chart_Type,Legend,Legend_Location,Experiments_To_Compare,Bars,Anomalies,Anomaly_Exp,New_Bars,Max,Min
Vent_Configuration_1_5_Combination_Nozzle_Interior_Double_Door_Top,"1.5"" Combination Nozzle Interior: 150gpm @ 75psi",,Vent Configuration,"DDT,DDB|DDT,SDB|DDT,SWB",center left,Exp_70_102815|Exp_78_102815|Exp_77_102815,1|2|3|4,0,,,15000,0
Vent_Configuration_1_5_Combination_Nozzle_Interior_No_Door_Top,"1.5"" Combination Nozzle Interior: 150gpm @ 75psi",,Vent Configuration,"NDT,DDB|NDT,SDB|NDT,SWB",center left,Exp_74_102815|Exp_73_102815|Exp_75_102815,1|2|3|4,0,,,15000,0
Vent_Configuration_1_5_Combination_Nozzle_Interior_Single_Door_Top,"1.5"" Combination Nozzle Interior: 150gpm @ 75psi",,Vent Configuration,"SDT,DDB|SDT,SDB|SDT,DWB|SDT,SWB",center left,Exp_71_102815|Exp_72_102815|Exp_84_102815|Exp_76_102815,1|2|3|4,0,,,15000,0
Vent_Configuration_1_5_Smooth_Bore_Nozzle_Interior,"1.5"" Smooth Bore Nozzle Interior: 15/16"" 180gpm @ 50psi",,Vent Configuration,"CDT,SWB|DDT,SWB|SDT,DWB|SDT,SWB",center left,Exp_80_102815|Exp_82_102815|Exp_83_102815|Exp_81_102815,1|2,0,,,15000,0
Vent_Configuration_1_5_Combination_Nozzle_Exterior,"1.5"" Combination Nozzle Exterior: 150gpm @ 75psi",,Vent Configuration,"DDT,DDB|DDT,SDB|NDT,DDB|NDT,SDB|NDT,SWB|SDT,DDB|SDT,SDB|SDT,DWB|SDT,SWB|SWT,DWB|SWT,SWB",center left,Exp_47_102815|Exp_48_102815|Exp_46_102815|Exp_45_102815|Exp_55_102815|Exp_43_102815|Exp_44_102815|Exp_51_102815|Exp_54_102815|Exp_50_102815|Exp_49_102815,1|2|5|6,1,Exp_55_102815|Exp_51_102815|Exp_54_102815|Exp_50_102815|Exp_49_102815,1|2|3|4,15000,0
Vent_Configuration_1_5_Combination_Nozzle_Exterior_Double_Door,"1.5"" Combination Nozzle Exterior: 150gpm @ 75psi",,Vent Configuration,"DDT,DDB|DDT,SDB",center left,Exp_47_102815|Exp_48_102815,1|2|5|6,0,,,15000,0
Vent_Configuration_1_5_Combination_Nozzle_Exterior_No_Door_Top,"1.5"" Combination Nozzle Exterior: 150gpm @ 75psi",,Vent Configuration,"NDT,DDB|NDT,SDB|NDT,SWB",center left,Exp_46_102815|Exp_45_102815|Exp_55_102815,1|2|5|6,1,Exp_55_102815,1|2|3|4,15000,0
Vent_Configuration_1_5_Combination_Nozzle_Exterior_Single_Door_Top,"1.5"" Combination Nozzle Exterior: 150gpm @ 75psi",,Vent Configuration,"SDT,DDB|SDT,SDB|SDT,DWB|SDT,SWB",center left,Exp_43_102815|Exp_44_102815|Exp_51_102815|Exp_54_102815,1|2|5|6,1,Exp_51_102815|Exp_54_102815,1|2|3|4,15000,0
Vent_Configuration_1_5_Combination_Nozzle_Exterior_Single_Window_Top,"1.5"" Combination Nozzle Exterior: 150gpm @ 75psi",,Vent Configuration,"SWT,DWB|SWT,SWB",center left,Exp_50_102815|Exp_49_102815,1|2|3|4,0,,,15000,0
Vent_Configuration_1_5_Smooth_Bore_Nozzle_Exterior,"1.5"" Smooth Bore Nozzle Exterior: 15/16"" 180gpm @ 50psi",,Vent Configuration,"NDT,SWB|SDT,DWB|SDT,SWB",center left,Exp_56_102815|Exp_52_102815|Exp_53_102815,1|2,0,,,15000,0
Vent_Configuration_2_5_Combination_Nozzle_Exterior,"2.5"" Combination Nozzle Exterior: 250gpm @ 75psi",,Vent Configuration,"SWT,SDB|SDT,SWB",center left,Exp_64_102815|Exp_63_102815,1|2|3|4,0,,,15000,0
Vent_Configuration_2_5_Smooth_Bore_Nozzle_Exterior,"2.5"" Smooth Bore Nozzle Exterior: 1 1/4"" 320gpm @ 50psi",,Vent Configuration,"SWT,SDB|SDT,SWB",center left,Exp_65_102815,1|2,0,,,15000,0
Vent_Configuration_PM_Combination_Nozzle_Exterior,PM Combination Nozzle Exterior: 500gpm @ 80psi,ignore,Vent Configuration,"SWT,SDB|SDT,SWB",center left,Exp_66_102815|Exp_69_102815,1|2,0,,,0,0
Vent_Configuration_PM_Smooth_Bore_Nozzle_Exterior,"PM Smooth Bore Nozzle Exterior: 1 3/8"" 500gpm @ 80psi",ignore,Vent Configuration,"SWT,SDB|SDT,SWB",center left,Exp_67_102815|Exp_68_102815,1,0,,,0,0
Vent_Configuration_1_5_Combination_Nozzle_Transitional,"1.5"" Combination Nozzle Transitional: 150gpm @ 75psi",,Vent Configuration,"SWT,SWB|NDT,SWB|SDT,SWB",center left,Exp_62_102815|Exp_58_102815|Exp_59_102815,1|3|5,0,,,15000,0
Vent_Configuration_1_5_Smooth_Bore_Nozzle_Transitional,"1.5"" Smooth Bore Nozzle Transitional: 15/16"" 180gpm @ 50psi",,Vent Configuration,"SWT,SWB|NDT,SWB|SDT,SWB",center left,Exp_61_102815|Exp_57_102815|Exp_60_102815,1|3|5,0,,,15000,0
