Time(hh:mm:ss),Elapsed Time,Voltage1,Voltage2,Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,19:01:46",164,-0.011,-0.016,,,,
"06-Jun-16,19:01:47",165,-0.014,-0.018,,,,
"06-Jun-16,19:01:48",166,-0.01,-0.017,,,,
"06-Jun-16,19:01:49",167,-0.008,-0.021,,,,
"06-Jun-16,19:01:50",168,-0.014,-0.014,,,,
"06-Jun-16,19:01:51",169,-0.011,-0.018,,,,
"06-Jun-16,19:01:52",170,-0.01,-0.016,,,,
"06-Jun-16,19:01:53",171,-0.01,-0.017,,,,
"06-Jun-16,19:01:54",172,-0.004,-0.017,,,,
"06-Jun-16,19:01:55",173,-0.011,-0.017,,,,
"06-Jun-16,19:01:56",174,-0.008,-0.018,,,,
"06-Jun-16,19:01:57",175,-0.006,-0.017,,,,
"06-Jun-16,19:01:58",176,-0.008,-0.013,,,,
"06-Jun-16,19:01:59",177,-0.006,-0.021,,,,
"06-Jun-16,19:02:00",178,-0.011,-0.016,,,,
"06-Jun-16,19:02:01",179,-0.004,-0.017,,,,
"06-Jun-16,19:02:02",180,-0.006,-0.014,,,,
"06-Jun-16,19:02:03",181,-0.008,-0.014,,,,
"06-Jun-16,19:02:04",182,-0.01,-0.013,,,,
"06-Jun-16,19:02:05",183,-0.01,-0.008,,,,
"06-Jun-16,19:02:06",184,-0.006,-0.008,,,,
"06-Jun-16,19:02:07",185,-0.01,-0.01,,,,
"06-Jun-16,19:02:08",186,-0.013,-0.01,,,,
"06-Jun-16,19:02:09",187,-0.013,-0.016,,,,
"06-Jun-16,19:02:10",188,-0.008,-0.01,,,,
"06-Jun-16,19:02:11",189,-0.011,-0.007,,,,
"06-Jun-16,19:02:12",190,-0.011,-0.013,,,,
"06-Jun-16,19:02:13",191,-0.01,-0.011,,,,
"06-Jun-16,19:02:14",192,-0.011,-0.007,,,,
"06-Jun-16,19:02:15",193,-0.011,-0.011,,,,
"06-Jun-16,19:02:16",194,-0.008,-0.013,,,,
"06-Jun-16,19:02:17",195,-0.013,-0.014,,,,
"06-Jun-16,19:02:18",196,-0.007,-0.017,,,,
"06-Jun-16,19:02:19",197,-0.007,-0.017,,,,
"06-Jun-16,19:02:20",198,-0.011,-0.021,,,,
"06-Jun-16,19:02:21",199,-0.01,-0.014,,,,
"06-Jun-16,19:02:22",200,-0.013,-0.013,,,,
"06-Jun-16,19:02:23",201,-0.013,-0.011,,,,
"06-Jun-16,19:02:24",202,-0.014,-0.006,,,,
"06-Jun-16,19:02:25",203,-0.016,-0.006,,,,
"06-Jun-16,19:02:26",204,-0.016,-0.011,,,,
"06-Jun-16,19:02:27",205,-0.013,-0.014,,,,
"06-Jun-16,19:02:28",206,-0.014,-0.011,,,,
"06-Jun-16,19:02:29",207,-0.013,-0.013,,,,
"06-Jun-16,19:02:30",208,-0.007,-0.014,,,,
"06-Jun-16,19:02:31",209,-0.011,-0.013,,,,
"06-Jun-16,19:02:32",210,-0.013,-0.017,,,,
"06-Jun-16,19:02:33",211,-0.007,-0.016,,,,
"06-Jun-16,19:02:34",212,-0.011,-0.018,,,,
"06-Jun-16,19:02:35",213,-0.01,-0.014,,,,
"06-Jun-16,19:02:36",214,-0.014,-0.014,,,,
"06-Jun-16,19:02:37",215,-0.017,-0.014,,,,
"06-Jun-16,19:02:38",216,-0.013,-0.011,,,,
"06-Jun-16,19:02:39",217,-0.014,-0.016,,,,
"06-Jun-16,19:02:40",218,-0.013,-0.014,,,,
"06-Jun-16,19:02:41",219,-0.016,-0.013,,,,
"06-Jun-16,19:02:42",220,-0.014,-0.018,,,,
"06-Jun-16,19:02:43",221,-0.016,-0.011,,,,
"06-Jun-16,19:02:44",222,-0.014,-0.014,,,,
"06-Jun-16,19:02:45",223,-0.014,-0.011,,,,
"06-Jun-16,19:02:46",224,-0.013,-0.017,,,,
"06-Jun-16,19:02:47",225,-0.013,-0.018,,,,
"06-Jun-16,19:02:48",226,-0.01,-0.016,,,,
"06-Jun-16,19:02:49",227,-0.014,-0.013,,,,
"06-Jun-16,19:02:50",228,-0.011,-0.013,,,,
"06-Jun-16,19:02:51",229,-0.013,-0.017,,,,
"06-Jun-16,19:02:52",230,-0.013,-0.02,,,,
"06-Jun-16,19:02:53",231,-0.01,-0.02,,,,
"06-Jun-16,19:02:54",232,-0.008,-0.02,,,,
"06-Jun-16,19:02:55",233,-0.006,-0.017,,,,
"06-Jun-16,19:02:56",234,-0.01,-0.017,,,,
"06-Jun-16,19:02:57",235,-0.008,-0.014,,,,
"06-Jun-16,19:02:58",236,-0.01,-0.008,,,,
"06-Jun-16,19:02:59",237,-0.011,-0.008,,,,
"06-Jun-16,19:03:00",238,-0.011,-0.011,,,,
"06-Jun-16,19:03:01",239,-0.011,-0.011,,,,
"06-Jun-16,19:03:02",240,-0.008,-0.01,,,,
"06-Jun-16,19:03:03",241,-0.007,-0.014,,,,
"06-Jun-16,19:03:04",242,-0.013,-0.018,,,,
"06-Jun-16,19:03:05",243,-0.01,-0.021,,,,
"06-Jun-16,19:03:06",244,-0.011,-0.024,,,,
"06-Jun-16,19:03:07",245,-0.01,-0.021,,,,
"06-Jun-16,19:03:08",246,-0.008,-0.017,,,,
"06-Jun-16,19:03:09",247,-0.007,-0.016,,,,
"06-Jun-16,19:03:10",248,-0.01,-0.018,,,,
"06-Jun-16,19:03:11",249,-0.004,-0.016,,,,
"06-Jun-16,19:03:12",250,-0.008,-0.018,,,,
