Experiment_Type,Test_Name,Original_Name,Test_Config,Location,Top_Vent,Bottom_Vent,Nozzle_Size,Manufacturer,Generic_Name,Nozze_Type,Tip_Size,Flow_Rate,Pressure,
Geometry_Tests,Exp_75_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1659,,Interior,No Opening,Single Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_71_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1621,,Interior,Single Door,Double Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_72_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1630,,Interior,Single Door,Single Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_84_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-1908,,Interior,Single Door,Double Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_76_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1731,,Interior,Single Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_80_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1842,,Interior,Controlled Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Geometry_Tests,Exp_82_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1852,,Interior,Double Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Geometry_Tests,Exp_83_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1902,,Interior,Single Door,Double Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Geometry_Tests,Exp_81_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1847,,Interior,Single Door,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Geometry_Tests,Exp_47_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-0814,,Exterior,Double Door,Double Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_48_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-0828,,Exterior,Double Door,Single Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_46_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-0754,,Exterior,No Opening,Double Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_45_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-0745,,Exterior,No Opening,Single Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_55_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1050,,Exterior,No Opening,Single Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_43_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-0722,,Exterior,Single Door,Double Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_44_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-0732,,Exterior,Single Door,Single Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_51_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-1000,,Exterior,Single Door,Double Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_54_102815,1_5 Automatic 150GPM 75PSI_2015-10-28-1042,,Exterior,Single Door,Single Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_50_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-0948,,Exterior,Single Window,Double Window,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_49_102815,1_5 Automatic Nozzle 150GPM 75PSI_2015-10-28-0920,,Exterior,Single Window,Single Door,1.5,TFT,Man. I,Combination,,150,75,
Geometry_Tests,Exp_56_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1100,,Exterior,No Opening,Single Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
Geometry_Tests,Exp_52_102815,1_5 Smooth Bore 15_16in 180GPM 50PSI_2015-10-28-1019,,Exterior,Single Door,Double Window,1.5,TFT,Man. I,Smooth Bore,15/16,180,50,
