Original_Test_Name,Test_Number,Test_Config,Location,Vent_Configuration,Nozzle_Position,Nozzle_Pattern,Nozzle_Direction,Hose_Line_Size,Nozzle_Type,Tip_Size_(in),Nozzle_Pressure_(psi),Flow_Rate_(gpm),Notes,Actual_Flow,Flow_Correction,Pump_Setting
15-12-09_150300_Datafile,72,,Interior,"Open Door, Open Window",At Room Entrance,O,Max Angle Ceiling,1 3/4,Smooth Bore,15/16,50,180,,191,1,66.1
15-12-09_151401_Datafile,73,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,At Wall,1 3/4,Straight Stream,,100,150,,161,1,71.5
15-12-09_151823_Datafile,74,,Interior,"Open Door, Open Window",At Room Entrance,O,At Wall,1 3/4,Straight Stream,,100,150,,161,1,71.5
15-12-09_152435_Datafile,75,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,161,1,71.5
15-12-09_153038_Datafile,76,,Interior,"Open Door, Open Window",At Room Entrance,O,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,161,1,71.5
15-12-09_153557_Datafile,,ignore,,,,,,,,,,,,,,
15-12-09_154257_Datafile,,ignore,Interior,Triple Lindy,Triple Lindy,Triple Lindy,Triple Lindy,1 3/4,Straight Stream,,100,150,,161,1,71.5
15-12-09_154846_Datafile,,ignore,Interior,"Open Door, Open Window",At Hall Entrance,O,At Wall,1 3/4,Straight Stream,,100,150,,161,1,71.5
15-12-09_155406_Datafile,,ignore,Interior,"Open Door, Open Window",At Hall Entrance,Z,At Wall,1 3/4,Straight Stream,,100,150,,161,1,71.5
15-12-09_160336_Datafile,,ignore,Interior,"Open Door, Open Window",At Hall Entrance,Pulsing,At Ceiling,1 3/4,Straight Stream,,100,150,,161,1,71.5
15-12-10_082039_Datafile,77,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,165 (~11 leak),1,70.4
15-12-10_082423_Datafile,78,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,165 (~11 leak),1,70.4
15-12-10_083305_Datafile,79,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,165 (~11 leak),1,70.4
15-12-10_083751_Datafile,80,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,165 (~11 leak),1,70.4
15-12-10_084506_Datafile,81,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,75,150,,138 (~10 leak),1,59.7
15-12-10_084944_Datafile,82,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,50,150,,113 (~8.5 leak),1,49.6
15-12-10_085408_Datafile,83,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,25,150,,80 (~6 leak),1,36.6
15-12-10_122043_Datafile,,ignore,Exterior,Fire w/ 2 cribs & 32 oz heptane,First Floor,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,165 (~15 leak),1,70.9
15-12-10_132600_Datafile,,ignore,Interior,Fire w/ 2 cribs & 32 oz heptane,At Room Entrance,Fixed,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,165 (~15 leak),1,70.9
15-12-10_160724_Datafile,,ignore,Exterior,"Open Door, Open Window",First Floor,Fixed ,Max Angle Ceiling,1 3/4,Straight Stream,,100,150,,,1,
