Time,Elapsed Time,PressureV,BDP1VLR,BDP2VLR,BDP3VLR,BDP4VLR,BDP5VLR,BDP1VHR,BDP2VHR,BDP3VHR,BDP4VHR,BDP5VHR,Pressure,BDP1VelLR,BDP2VelLR,BDP3VelLR,BDP4VelLR,BDP5VelLR,BDP1FlowLR,BDP2FlowLR,BDP3FlowLR,BDP4FlowLR,BDP5FlowLR,TotalBDPFlowLR,BDP1VelHR,BDP2VelHR,BDP3VelHR,BDP4VelHR,BDP5VelHR,BDP1FlowHR,BDP2FlowHR,BDP3FlowHR,BDP4FlowHR,BDP5FlowHR,TotalBDPFlowHR
2015-10-28 07:23:07,00:00:21,2.20485213,2.441838562,2.485220152,2.419534052,2.428407049,2.439631359,2.48397305,2.495303185,2.483880877,2.488331426,2.490666051,2.939672787,-47.20139941,-36.12256295,-91.19664677,-56.25595886,-74.5680095,-134.9960023,-103.31053,-260.8224098,-160.8920423,-228.1781091,-888.1990935,32.93317148,38.04870597,-40.87107928,-21.34245185,13.48419864,94.18887043,108.8192991,-116.8912868,-61.03941228,41.26164785,66.33911832
2015-10-28 07:23:08,00:00:22,1.969653553,2.451148387,2.482931173,2.43326986,2.420012747,2.440394477,2.483515179,2.491640474,2.484949218,2.48726321,2.490818678,5.28225061,17.70580238,-43.92838148,-67.5804866,-73.86659432,-73.1578167,50.6385948,-125.635171,-193.2801917,-211.2584598,-223.8629191,-703.3981468,30.97742156,21.16197647,-37.13221385,-27.33331094,14.94954745,88.59542566,60.52325271,-106.1981316,-78.1732693,45.74561519,10.49289265
2015-10-28 07:23:09,00:00:23,1.935770306,2.454200788,2.475759038,2.423807414,2.418486511,2.420400778,2.485499287,2.492556152,2.484643978,2.48588979,2.489445033,5.619727752,33.86389649,-62.35067941,-84.55916932,-76.63496296,-103.9716298,96.85074395,-178.3229431,-241.8392243,-219.1759941,-318.1531872,-860.6406047,38.74580719,26.41586536,-38.2377838,-33.49681421,-12.3085025,110.8130086,75.54937492,-109.3600617,-95.80088865,-37.66401764,-56.46258449
2015-10-28 07:23:10,00:00:24,1.994073912,2.454506029,2.482931173,2.427622917,2.412381564,2.422232261,2.483057308,2.488740829,2.484949218,2.486194995,2.490208169,5.03902384,35.07264304,-43.92838148,-78.15796861,-86.83025228,-101.5387968,100.3077591,-125.635171,-223.5317902,-248.3345215,-310.7087182,-807.9024419,28.8895744,-18.54018027,-37.13221385,-32.22917193,7.538404705,82.62418279,-53.02491556,-106.1981316,-92.17543173,23.0675184,-145.7067777
2015-10-28 07:23:11,00:00:25,2.05390379,2.412688126,2.465077134,2.435864401,2.421081113,2.4263531,2.478020728,2.48568857,2.485407078,2.486194995,2.489139778,4.443118255,-100.9241396,-82.48415142,-62.11959698,-71.86531224,-95.8393918,-288.6430393,-235.9046731,-177.6620474,-205.534793,-293.2685389,-1201.013092,-23.24471984,-34.30695652,-35.40919511,-32.22917193,-15.32416214,-66.47989875,-98.11789565,-101.270298,-92.17543173,-46.89193616,-404.9354603
2015-10-28 07:23:12,00:00:26,2.076645248,2.392694895,2.449817272,2.41480283,2.403529392,2.403154304,2.475273502,2.480804956,2.483728257,2.484058564,2.486545115,4.216613326,-125.0743286,-104.7348535,-98.02241507,-99.77989125,-124.5719657,-357.7125797,-299.541681,-280.3441071,-285.370489,-381.1902151,-1604.159072,-35.92040958,-50.10123388,-41.37763314,-40.27330128,-30.71060069,-102.7323714,-143.2895289,-118.3400308,-115.1816417,-93.97443811,-573.5180108
2015-10-28 07:23:13,00:00:27,2.167305829,2.413145986,2.444171123,2.401372262,2.399561176,2.40300168,2.476189244,2.480194505,2.482659917,2.484211166,2.48791876,3.313633945,-100.3029997,-111.8513238,-115.2162023,-105.0680758,-124.7390838,-286.8665792,-319.894786,-329.5183385,-300.4946968,-381.7015963,-1618.475997,-32.25351996,-51.73760173,-44.76329234,-39.75273924,-23.83595587,-92.24506707,-147.9695409,-128.0230161,-113.6928342,-72.93802496,-554.8684833
2015-10-28 07:23:14,00:00:28,2.08427661,2.385979611,2.478200616,2.414650209,2.414823543,2.436121015,2.474815631,2.480652343,2.482659917,2.486500199,2.491123932,4.140604961,-132.1997631,-56.75461685,-98.23470496,-82.90273002,-80.7382732,-378.0913226,-162.3182042,-280.9512562,-237.1018079,-247.059116,-1305.521707,-37.62006062,-50.51529556,-44.76329234,-30.90958564,17.51626903,-107.5933734,-144.4737453,-128.0230161,-88.40141494,53.59978322,-414.8917665
2015-10-28 07:23:15,00:00:29,2.087329155,2.426729173,2.47331746,2.439985143,2.432985758,2.445125811,2.478631222,2.482483698,2.486475419,2.488941834,2.49127656,4.110201614,-79.70350645,-67.48427899,-52.28702004,-43.75844529,-63.72182038,-227.9520285,-193.0050379,-149.5408773,-125.1491535,-194.9887704,-890.6358676,-19.33027378,-45.29743587,-31.01882141,-16.99606345,18.66775392,-55.284583,-129.5506666,-88.71382923,-48.60874148,57.12332699,-265.0344933
2015-10-28 07:23:16,00:00:30,1.9217286,2.442906902,2.470723283,2.435406541,2.427949178,2.422690132,2.481073201,2.482788924,2.485864938,2.487873619,2.488071388,5.759583144,-44.00373041,-72.54175448,-63.11762461,-57.35613345,-100.9214255,-125.850669,-207.4694178,-180.5164064,-164.0385417,-308.8195619,-986.6945968,17.11638341,-44.36817326,-33.59792986,-24.09306558,-22.94531404,48.95285656,-126.8929755,-96.09007941,-68.90616757,-70.21266096,-313.1490269
