Time,Elapsed Time,BDP1V,BDP2V,BDP3V,BDP4V,BDP5V,BDP1Vel,BDP2Vel,BDP3Vel,BDP4Vel,BDP5Vel,BDP1Flow,BDP2Flow,BDP3Flow,BDP4Flow,BDP5Flow,TotalBDPFlow
2015-10-27 20:26:50,00:00:39,2.495844094,2.501009687,2.510776931,2.507465898,2.515881744,-47.31282016,23.32058243,76.18922248,63.41427065,92.49006319,-135.3146656,66.69686576,217.9011763,181.364814,283.0195934,615.8071754
2015-10-27 20:26:51,00:00:40,2.493096933,2.505130236,2.502993307,2.508839607,2.510387936,-60.97713839,52.56717787,40.15333526,69.00212556,74.80155317,-174.3946158,150.3421287,114.8385389,197.3460791,228.8927527,518.8891836
2015-10-27 20:26:52,00:00:41,2.48806047,2.505435462,2.50741929,2.507007995,2.514355686,-80.1935798,54.10834068,63.21601906,61.43881931,87.93422891,-229.3536382,154.7498543,180.7978145,175.7150232,269.0787405,552.8118293
2015-10-27 20:26:53,00:00:42,2.490960251,2.505435462,2.50772453,2.521508262,2.499858138,-69.77890627,54.10834068,64.5033109,107.6337925,-8.741370374,-199.5676719,154.7498543,184.4794692,307.8326466,-26.74859334,423.6411253
2015-10-27 20:26:54,00:00:43,2.490044531,2.499788784,2.505893089,2.509908048,2.511608782,-73.22794489,-10.66619918,56.34008177,73.05333307,79.07502069,-209.4319224,-30.50532966,161.1326338,208.9325326,241.9695633,372.9394438
2015-10-27 20:26:55,00:00:44,2.486534269,2.50009401,2.499635665,2.499834178,2.49833208,-85.16496048,7.115935461,-14.00864817,-9.450767223,-29.97323359,-243.571787,20.35157542,-40.06473377,-27.02919426,-91.71809478,-383.9106527
2015-10-27 20:26:56,00:00:45,2.493707413,2.496126073,2.510166451,2.498613103,2.498484686,-58.21844472,-45.67953497,73.99982109,-27.33179242,-28.56915144,-166.5047519,-130.64347,211.6394883,-78.16892631,-87.42160342,-252.1583062
2015-10-27 20:26:57,00:00:46,2.493707413,2.499636171,2.502993307,2.502276328,2.499552926,-58.21844472,-13.99892768,40.15333526,35.01575003,-15.51799572,-166.5047519,-40.03693317,114.8385389,100.1450451,-47.4850669,-38.98854644
2015-10-27 20:26:58,00:00:47,2.493096933,2.494447331,2.505587849,2.502581597,2.497569051,-60.97713839,-54.68860758,54.8615782,37.28981388,-36.18544348,-174.3946158,-156.4094177,156.9041137,106.6488677,-110.727457,-178.4136434
2015-10-27 20:26:59,00:00:48,2.483329247,2.498720493,2.503603788,2.506702726,2.492075243,-94.75968038,-26.25229521,44.05808023,60.08578076,-65.33395558,-271.0126859,-75.0815643,126.0061095,171.845333,-199.9219041,-248.4768571
2015-10-27 20:27:00,00:00:50,2.485008068,2.497041751,2.496125403,2.494034071,2.499858138,-89.86173127,-39.91750102,-45.68348504,-56.68720235,-8.741370374,-257.0045514,-114.1640529,-130.6547672,-162.1253987,-26.74859334,-694.9933085
2015-10-27 20:27:01,00:00:51,2.485771169,2.501314913,2.503603788,2.505786919,2.495279964,-87.54484919,26.61304018,44.05808023,55.83026637,-50.42183141,-250.3782687,76.11329491,126.0061095,159.6745618,-154.2908041,-42.15421412
2015-10-27 20:27:02,00:00:52,2.486534269,2.493226428,2.502993307,2.505023747,2.493296089,-85.16496048,-60.40249307,40.15333526,52.01874634,-60.09109095,-243.571787,-172.7511302,114.8385389,148.7736145,-183.8787383,-337.5775859
2015-10-27 20:27:03,00:00:53,2.48760261,2.498415267,2.496888504,2.497849931,2.498484686,-81.71675665,-29.21621718,-40.9383766,-34.03080294,-28.56915144,-233.709924,-83.55838113,-117.0837571,-97.32809642,-87.42160342,-622.5418899
2015-10-27 20:27:04,00:00:54,2.493402173,2.496889138,2.500398766,2.496018318,2.505962369,-59.6137514,-40.93420402,14.65564406,-46.31047789,56.67028451,-170.495329,-117.0718235,41.91514202,-132.4479668,173.4110706,-207.1353253
2015-10-27 20:27:05,00:00:55,2.485618548,2.496889138,2.501314486,2.506397457,2.492990878,-88.01310496,-40.93420402,26.6087214,58.7015637,-61.44376166,-251.7174802,-117.0718235,76.10094321,167.8864722,-188.0179107,-313.6273041
2015-10-27 20:27:06,00:00:56,2.489739291,2.500551848,2.504824748,2.491591921,2.509930119,-74.34207397,17.24073813,50.97806034,-67.29679533,73.13465255,-212.6183316,49.30851105,145.7972526,-192.4688346,223.7920368,12.45199246
2015-10-27 20:27:07,00:00:57,2.478750645,2.498110041,2.497193744,2.493118265,2.49436433,-106.9840071,-31.90598202,-38.87851114,-60.88284912,-55.09583459,-305.9742604,-91.25110858,-111.1925419,-174.1249485,-168.5932538,-855.5523673
2015-10-27 20:27:08,00:00:58,2.480429466,2.49231075,2.500246146,2.502123694,2.494669541,-102.6708893,-64.35584042,11.51442042,33.82142835,-53.58315364,-293.6387433,-184.0577036,32.9312424,96.72928508,-163.9644501,-514.2522649
2015-10-27 20:27:09,00:00:59,2.485160688,2.49597346,2.494293962,2.490676114,2.502910253,-89.40315834,-46.57061398,-55.43873293,-70.86706618,39.59235779,-255.6930329,-133.191956,-158.5547762,-202.6798093,121.1526148,-633.8204549
2015-10-27 20:27:10,00:01:00,2.490349771,2.498110041,2.498719945,2.503192135,2.496042993,-72.0966009,-31.90598202,-26.25792024,41.46546945,-46.16675747,-206.1962786,-91.25110858,-75.09765189,118.5912426,-141.2702779,-396.8672304
2015-10-27 20:27:11,00:01:01,2.490502391,2.501467526,2.486662958,2.497697296,2.49436433,-71.52421853,28.11505075,-84.75703141,-35.21802498,-55.09583459,-204.559265,80.40904515,-242.4051098,-100.7235514,-168.5932538,-638.8955675
2015-10-27 20:27:12,00:01:02,2.48790785,2.49749959,2.501314486,2.494644609,2.495737782,-80.70449966,-36.69877891,26.6087214,-53.70832312,-47.91415376,-230.814869,-104.9585077,76.10094321,-153.6058041,-146.6173105,-562.5695806
2015-10-27 20:27:13,00:01:03,2.495080994,2.503298881,2.502993307,2.505329016,2.497569051,-51.47361535,42.15307977,40.15333526,53.57590353,-36.18544348,-147.2145399,120.5578081,114.8385389,153.2270841,-110.727457,132.243421
2015-10-27 20:27:14,00:01:04,2.515684705,2.516728819,2.533517324,2.51586079,2.566394255,91.91452734,94.92456586,134.3632963,92.42902746,189.1085797,262.8755482,271.4842584,384.2790274,264.3470185,578.6722538,1769.312375
2015-10-27 20:27:15,00:01:05,2.829624218,2.817528901,2.813727798,2.879893825,2.999947259,421.3621653,413.5591285,411.0763406,452.3526078,518.929162,1205.095793,1182.779107,1175.678334,1293.728458,1587.923236,6476.632977
2015-10-27 20:27:16,00:01:06,3.130896263,3.055452457,3.019764911,3.04183892,2.996895144,582.9414793,546.9774563,529.1142523,540.2329628,517.3427382,1667.212631,1564.355525,1513.266762,1545.066273,1583.068779,7913.66749
2015-10-27 20:27:17,00:01:07,2.957061988,3.125501791,2.922088058,2.940947584,2.94394094,496.1734631,580.4439114,476.8123696,487.3483103,488.9996857,1419.056104,1660.069587,1363.683377,1393.816168,1496.339038,7370.728965
2015-10-27 20:27:18,00:01:08,3.064353907,3.631108424,3.097143294,3.226984443,3.063736473,551.3428527,780.5452759,567.1334471,625.7610678,551.0411708,1576.840559,2232.359489,1622.001659,1789.676654,1686.185983,8953.785561
2015-10-27 20:27:19,00:01:09,2.727063521,4.167848094,3.769282143,3.233242453,4.030646658,349.7193523,947.8164189,826.8468311,628.4486272,907.9949956,1000.197348,2710.754958,2364.781937,1797.363074,2778.464686,10702.50327
2015-10-27 20:27:20,00:01:10,3.513056953,3.016078321,3.027090675,3.028864996,3.552227556,738.6911774,527.2344616,532.829974,533.7260408,752.8367595,2112.656767,1507.89056,1523.893726,1526.456477,2303.680484,9017.740694
2015-10-27 20:27:21,00:01:11,2.952788625,3.796235613,2.702315137,3.280101212,3.261055739,493.8484958,835.5798448,330.1111318,648.2185538,640.2568207,1412.406698,2389.758356,944.1178371,1853.905064,1959.185871,8602.078994
2015-10-27 20:27:22,00:01:12,3.328539272,3.509323307,3.008623645,3.000169729,3.328660097,668.0400969,737.3286886,523.4126977,519.0446075,668.0888049,1910.594677,2108.760049,1496.960315,1484.467577,2044.351743,9090.431496
2015-10-27 20:27:23,00:01:13,3.511835993,3.196161577,2.801365571,3.500657915,3.516365199,738.245899,612.3518103,402.8958548,734.1567543,739.8963318,2111.383271,1751.326178,1152.282145,2099.688317,2264.082775,9424.796769
2015-10-27 20:27:24,00:01:14,3.030624868,3.163960249,3.040979103,3.395645451,3.309736981,534.6133272,598.0218069,539.8041585,694.5668366,660.4165805,1528.994116,1710.342368,1543.839893,1986.461153,2020.874736,8834.313822
2015-10-27 20:27:25,00:01:15,3.326707831,3.218443065,3.238469492,3.22896869,3.142175841,667.3013553,622.0741568,630.6846488,626.6144688,588.1294986,1908.481876,1779.132089,1803.758096,1792.117381,1799.676266,9130.292037
2015-10-27 20:27:26,00:01:16,3.284737308,3.685896465,3.226870365,3.156619986,3.069382887,650.1418628,799.2255671,625.7119691,594.7069718,553.7939234,1859.405728,2285.785122,1789.536232,1700.861939,1694.609406,9379.602945
2015-10-27 20:27:27,00:01:17,3.366999533,3.154650861,2.845167535,3.199204982,3.160183322,683.3692189,593.8145746,431.1823269,613.6888579,596.3184624,1954.435966,1698.309683,1233.181455,1755.150133,1824.734495,8508.781466
2015-10-27 20:27:28,00:01:18,2.941342119,3.793793806,3.012897008,3.107013807,3.261666162,487.5662877,834.7924546,525.6069071,571.8014679,640.513536,1394.439583,2387.50642,1503.235754,1635.352198,1959.97142,8925.283277
2015-10-27 20:27:29,00:01:19,3.238340802,3.339312504,2.669349199,2.71688029,3.208254141,630.6296933,672.3692261,302.0212872,341.7873804,617.6472931,1803.600923,1922.975987,863.7808813,977.5119079,1890.000717,7493.896179
2015-10-27 20:27:30,00:01:20,3.540681189,2.819665482,2.710556621,2.725427816,3.510871391,748.6948285,414.9481692,336.7677014,348.4574329,737.8939235,2141.267209,1186.751764,963.1556261,996.588258,2257.955406,7579.931653
2015-10-27 20:27:32,00:01:21,3.549227913,3.016078321,2.6359254,2.970406022,3.090747695,751.7629172,527.2344616,270.5803732,503.3643078,564.0881794,2150.041943,1507.89056,773.8598674,1439.62192,1726.109829,7635.513906
2015-10-27 20:27:33,00:01:22,2.904713299,3.116192403,3.066771897,3.002153977,3.389244589,466.8955331,576.1083248,552.5227124,520.0731517,692.0804746,1335.321225,1647.669809,1580.214958,1487.409214,2117.766252,8207.530726
2015-10-27 20:27:34,00:01:23,3.231320278,2.928783726,2.841504653,3.173104501,3.066635983,627.6243565,480.5793749,428.8883939,602.1257889,552.4564597,1795.00566,1374.457012,1226.620807,1722.079756,1690.516767,7848.266327
2015-10-27 20:27:35,00:01:24,3.268406959,3.070408524,3.060209234,3.396713891,3.07792881,643.3415866,554.2924774,549.3145626,694.9809973,557.9344186,1839.956938,1585.276485,1571.039649,1987.645652,1707.279321,8736.386065
2015-10-27 20:27:36,00:01:25,3.122502159,3.052400198,2.901942207,3.083813379,3.178953832,579.0504614,545.4725422,465.2943589,560.7677157,604.7363902,1656.08432,1560.051471,1330.741867,1603.795667,1850.493354,8040.963353
2015-10-27 20:27:37,00:01:26,2.990943646,3.366935444,3.100653556,3.072213165,3.032147078,514.2352021,683.3439612,568.7979302,555.1686115,535.3796038,1470.712678,1954.363729,1626.76208,1587.782229,1638.261588,8320.842613
2015-10-27 20:27:38,00:01:27,3.110292552,2.992881156,2.718950726,2.945984519,3.668818367,573.3436621,515.248918,343.4149329,490.1238913,793.4498731,1639.762874,1473.611905,982.166708,1401.754329,2427.956612,7960.821557
2015-10-27 20:27:39,00:01:28,3.109834692,3.532215246,2.772367755,2.992995913,3.071519368,573.1285517,745.6432932,383.0220946,515.3088967,554.831944,1639.147658,2132.539819,1095.443191,1473.783445,1697.785749,8079.72745
2015-10-27 20:27:40,00:01:29,3.340596259,2.932904275,2.842572994,2.875467428,3.150569158,672.8832343,482.8830026,429.5587231,449.7095546,591.960484,1924.44605,1381.045387,1228.537948,1286.169326,1811.399081,7669.2562
2015-10-27 20:27:41,00:01:30,2.825198235,3.011805159,2.955359236,3.3022332,3.092426359,418.5237145,525.0471567,495.2483713,657.3494391,564.8890648,1196.977824,1501.634868,1416.410342,1880.019396,1728.560538,7762.392665
2015-10-27 20:27:42,00:01:31,2.932184914,3.049195327,2.967874083,3.084271282,3.145685774,482.4816301,543.8879009,502.0078121,560.9875865,589.7345745,1379.897462,1555.519396,1435.742342,1604.424497,1804.587798,7818.83529
2015-10-27 20:27:43,00:01:32,2.909291901,3.35732083,2.960243079,2.876688503,3.457306764,469.5291467,679.5441358,497.89712,450.4402217,718.0778738,1342.853359,1943.496228,1423.985763,1288.259034,2197.318294,8234.725359
2015-10-27 20:27:44,00:01:33,3.220331632,2.980366896,2.972757925,3.062444563,3.548565017,622.8912418,508.6657738,504.6210818,550.4094005,751.5254,1781.468952,1454.784113,1443.216294,1574.170886,2299.667724,8593.77087
2015-10-27 20:27:45,00:01:34,2.696234264,3.371971671,3.185815563,3.301012125,3.264718278,325.112301,685.3259377,607.7845403,656.8489744,641.7955719,929.8211808,1960.032182,1738.263785,1878.588067,1963.89445,8512.699972
2015-10-27 20:27:46,00:01:35,3.168440804,3.48292127,2.899042425,3.0102436,2.94684045,600.0362077,727.621206,463.6129053,524.2455637,490.5939875,1716.103554,2080.996649,1325.932909,1499.342312,1501.217602,8166.441753
2015-10-27 20:27:47,00:01:36,2.630455008,3.008600288,3.228854426,3.296738362,3.176664746,265.0796321,523.4006794,626.565357,655.0943372,603.7160979,758.1277478,1496.925943,1791.976921,1873.569804,1847.37126,7806.279711
2015-10-27 20:27:48,00:01:37,3.323350189,2.884068138,2.894463822,2.846772161,2.777600647,665.9448672,454.8310669,460.9454905,432.1834118,386.6840137,1904.60232,1300.816851,1318.304103,1236.044558,1183.253082,6980.288315
2015-10-27 20:27:49,00:01:38,3.173172027,3.043701262,3.078981504,3.222405411,3.441435764,602.1559908,541.1605774,558.4423245,623.7872249,712.1005602,1722.166134,1547.719251,1597.145048,1784.031463,2179.027714,8873.123948
2015-10-27 20:27:50,00:01:39,3.337391237,3.114818886,3.278150713,3.014212094,3.359944281,671.5992261,575.4658829,647.4076712,526.2803132,680.5830635,1920.773787,1645.832425,1851.58594,1505.161696,2082.584174,9050.734168
2015-10-27 20:27:51,00:01:40,3.237272462,3.036070615,2.969705524,3.622460164,3.352313992,630.173284,537.3496645,502.9893793,777.5555928,677.5569278,1802.295592,1536.820041,1438.549625,2223.808995,2073.324199,9120.100061
2015-10-27 20:27:52,00:01:41,3.139290368,3.212796387,3.096685434,3.323602015,3.362538579,586.806697,619.624706,566.9159803,666.046701,681.6088891,1678.267153,1772.126659,1621.379704,1904.893565,2085.723201,9107.531381
2015-10-27 20:27:53,00:01:42,2.917991246,3.490094078,2.694989373,2.953616239,2.969120893,474.4927428,730.2712657,324.0794195,494.2996212,502.6762527,1357.049245,2088.57582,926.8671398,1413.696917,1538.189333,7361.816808
2015-10-27 20:27:54,00:01:43,2.947752163,2.829280097,3.104774298,3.047639027,3.103108763,491.0942251,421.1421612,570.7456947,543.1167241,569.9592422,1404.529484,1204.466581,1632.332687,1553.313831,1744.075281,7576.210915
2015-10-27 20:27:55,00:01:44,3.082515697,3.36250967,2.794955528,3.11372972,3.200318641,560.1441406,681.5974665,398.5880288,574.9559313,614.1773898,1602.012242,1949.368754,1139.961762,1644.373964,1879.382813,8256.093496
2015-10-27 20:27:56,00:01:45,3.081599976,2.972888863,2.794650288,2.997117042,3.021312068,559.7036914,504.690958,398.3817323,517.4582397,529.9011602,1600.752557,1443.41614,1139.371754,1479.930566,1621.49755,7321.6129
2015-10-27 20:27:57,00:01:46,3.036424431,3.262548201,2.847762077,2.887525545,3.221836055,537.5269655,640.8842985,432.79984,456.8736899,623.541361,1537.327121,1832.929094,1237.807542,1306.658753,1908.036565,7861.029079
2015-10-27 20:27:58,00:01:47,2.809325746,2.942671503,2.956274956,2.881725438,2.979803297,408.1821566,488.3000442,495.7460897,453.4417786,508.3672857,1167.400968,1396.538126,1417.833817,1296.843487,1555.603894,6868.374501
2015-10-27 20:27:59,00:01:48,3.131811984,2.677888071,2.773588716,3.296738362,3.413661513,583.3643839,309.5418648,383.8796337,655.0943372,701.5177218,1668.422138,885.2897332,1097.895752,1873.569804,2146.644229,7707.571189
2015-10-27 20:28:00,00:01:49,3.08801002,3.038817648,2.891716661,2.973153441,2.959964547,562.7795973,538.7246988,459.3376065,504.8321241,497.7464374,1609.549648,1540.752638,1313.705555,1443.819875,1523.104098,7469.157207
2015-10-27 20:28:01,00:01:50,2.774223127,3.081549268,3.09088587,2.950563551,3.028942357,384.3244556,559.6792912,564.1541454,492.6335766,533.7650752,1099.167943,1600.682773,1613.480856,1408.932029,1633.32113,7392.609469
2015-10-27 20:28:02,00:01:51,2.90761308,2.706121463,2.72581863,3.159520039,3.168424034,468.5652071,333.2019924,348.7593544,596.018828,600.0286808,1340.096492,952.9576982,997.4517535,1704.613848,1836.087763,6863.527457
