Experiment_Type,Test_Config,Location,Top_Vent,Bottom_Vent,Nozzle_Size,Manufacturer,Nozze_Type,Tip_Size,Flow_Rate,Pressure
Geometry_Tests,,Interior,Controlled Door,Single Window,1.5,TFT,Smooth Bore,15/16,180,50
Geometry_Tests,,Interior,Double Door,Single Window,1.5,TFT,Smooth Bore,15/16,180,50
Geometry_Tests,,Interior,Single Door,Double Window,1.5,TFT,Smooth Bore,15/16,180,50
Geometry_Tests,,Interior,Single Door,Single Window,1.5,TFT,Smooth Bore,15/16,180,50
Geometry_Tests,,Exterior,Double Door,Double Door,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,Double Door,Single Door,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,No Opening,Double Door,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,No Opening,Single Door,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,No Opening,Double Window,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,Single Door,Double Door,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,Single Door,Single Door,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,Single Door,Double Window,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,Single Door,Single Window,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,Single Window,Double Window,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,Single Window,Single Door,1.5,TFT,Combination,,150,75
Geometry_Tests,,Exterior,No Opening,Single Window,1.5,TFT,Smooth Bore,15/16,180,50
Geometry_Tests,,Exterior,Single Door,Double Window,1.5,TFT,Smooth Bore,15/16,180,50
Geometry_Tests,,Exterior,Single Door,Single Window,1.5,TFT,Smooth Bore,15/16,180,50
Geometry_Tests,,Exterior,Single Window,Single Door,2.5,TFT,Combination,,250,75
Geometry_Tests,,Exterior,Single Door,Single Window,2.5,TFT,Combination,,250,75
Geometry_Tests,,Exterior,Single Window,Single Door,2.5,TFT,Smooth Bore,1 1/4,320,50
Geometry_Tests,ignore,Exterior,Single Door,Single Window,2.5,TFT,Smooth Bore ,1 1/4,320,50
Geometry_Tests,,Exterior,Single Window,Single Door,PM,TFT,Combination,,500,80
Geometry_Tests,,Exterior,Single Door,Single Window,PM,TFT,Combination,,500,80
Geometry_Tests,,Exterior,Single Window,Single Door,PM,TFT,Smooth Bore,1 3/8,500,80
Geometry_Tests,,Exterior,Single Door,Single Window,PM,TFT,Smooth Bore,1 3/8,500,80
Geometry_Tests,,Transitional,Single Window,Single Window,1.5,TFT,Combination,,150,75
Geometry_Tests,,Transitional,No Opening,Single Window,1.5,TFT,Combination,,150,75
Geometry_Tests,,Transitional,Single Door,Single Window,1.5,TFT,Combination,,150,75
Geometry_Tests,,Transitional,Single Window,Single Window,1.5,TFT,Smooth Bore,15/16,180,50
