Seconds,FireAttack_Bed1,FireAttack_Bed2,Couch1_CenterIgnite,Couch3_RightIgnite,Couch2_LeftIgnite,StripedChair_1,StripedChair_2,StripedChair_3,YellowChair_1,YellowChair_2
139.0,229.0,231.0,96.4,98.8,101.0,62.4,60.8,62.4,55.0,57.0
140.0,229.0,231.0,96.4,98.8,101.0,62.4,61.0,62.4,55.0,56.8
141.0,228.8,231.0,96.4,98.8,101.0,62.4,60.8,62.2,55.0,57.0
142.0,229.0,230.8,96.4,98.8,101.0,62.4,60.8,62.6,55.0,57.0
143.0,229.0,230.8,96.4,98.8,101.0,62.4,61.0,62.6,55.0,57.0
144.0,229.0,230.8,96.4,99.0,101.0,62.4,60.8,62.6,55.0,57.0
145.0,229.0,230.6,96.4,99.0,101.0,62.4,60.8,62.6,54.8,57.0
146.0,228.8,230.8,96.4,99.0,101.0,62.4,61.0,62.6,55.0,57.0
147.0,228.8,230.8,96.6,99.0,101.0,62.4,60.8,62.4,54.8,57.0
148.0,228.8,230.8,96.6,99.0,101.0,62.4,60.8,62.4,55.0,57.0
149.0,228.8,231.0,96.4,98.8,101.0,62.4,60.8,62.6,55.0,57.0
150.0,228.8,231.0,96.4,99.0,101.0,62.4,60.8,62.4,55.0,57.0
151.0,228.8,231.0,96.4,99.0,101.0,62.4,60.8,62.6,55.0,57.0
152.0,228.8,231.0,96.4,98.8,101.0,62.4,61.0,62.6,55.0,57.0
153.0,229.0,231.0,96.4,99.0,101.0,62.4,60.8,62.4,55.0,57.0
154.0,228.6,231.0,96.4,98.8,101.0,62.2,60.8,62.4,55.0,57.0
155.0,228.6,230.8,96.4,99.0,101.0,62.2,60.8,62.6,55.0,57.0
156.0,228.6,230.8,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
157.0,228.8,230.8,96.4,99.0,101.0,62.2,61.0,62.6,55.0,56.8
158.0,228.8,230.8,96.4,98.8,101.0,62.2,60.8,62.6,55.0,56.8
159.0,228.8,230.8,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
160.0,228.6,231.0,96.4,99.0,101.0,62.4,60.8,62.4,55.0,56.8
161.0,228.8,231.0,96.4,99.0,101.0,62.4,60.8,62.6,55.0,56.8
162.0,228.6,231.0,96.4,99.0,101.0,62.4,61.0,62.4,55.0,56.8
163.0,228.6,230.8,96.4,98.8,101.0,62.2,61.0,62.4,55.0,57.0
164.0,228.8,230.8,96.4,98.8,101.0,62.2,61.0,62.4,55.0,56.8
165.0,228.6,230.8,96.6,98.8,101.0,62.2,61.0,62.6,55.0,56.8
166.0,228.4,230.8,96.6,98.8,101.0,62.2,60.8,62.6,55.0,57.0
167.0,228.6,231.0,96.6,98.8,101.0,62.2,60.6,62.6,55.0,57.0
168.0,228.4,231.0,96.6,98.8,101.0,62.2,60.8,62.4,55.0,57.0
169.0,228.8,231.0,96.6,98.8,101.0,62.2,61.0,62.4,55.0,57.0
170.0,228.8,230.8,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
171.0,228.8,230.6,96.4,98.8,101.0,62.2,60.8,62.4,55.0,57.0
172.0,228.8,230.8,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
173.0,228.8,230.8,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
174.0,228.6,230.8,96.4,98.8,100.8,62.2,60.8,62.4,55.0,56.8
175.0,228.6,230.6,96.4,98.8,101.0,62.2,60.8,62.2,55.0,56.8
176.0,228.6,230.6,96.4,98.8,101.0,62.2,60.8,62.4,55.0,56.8
177.0,228.6,230.8,96.4,98.8,101.0,62.2,60.6,62.4,54.8,56.8
