Time,GPM,Total Gallons
21:46.3,0.12628147,0.053900406
21:46.3,0.11438286,0.053920463
21:46.3,0.095939994,0.05393799
21:46.3,0.063218787,0.053951252
21:46.3,0.14710405,0.05396878
21:46.3,0.17923033,0.053995974
21:46.3,0.15900268,0.05402416
21:46.3,0.12152202,0.05404754
21:46.3,0.1691165,0.054071758
21:46.4,0.12628147,0.054096375
21:46.4,0.11795244,0.05411673
21:46.4,0.14353447,0.054138519
21:46.4,0.13996488,0.054162145
21:46.4,0.0941552,0.054181658
21:46.4,0.078686997,0.05419606
21:46.4,0.084041372,0.05420962
21:46.4,0.076902203,0.054223035
21:46.4,-0.035539746,0.05422648
21:46.4,-0.032565091,0.054220803
21:46.5,0.054889757,0.054222666
21:46.5,0.10069944,0.05423563
21:46.5,0.013839521,0.054245178
21:46.5,0.063218787,0.054251596
21:46.5,0.078686997,0.054263424
21:46.5,0.070357963,0.054275844
21:46.5,0.12985106,0.05429253
21:46.5,0.092370406,0.054311048
21:46.5,0.11081327,0.05432798
21:46.5,0.049535379,0.054341342
21:46.6,-0.008172924,0.054344788
21:46.6,0.087016031,0.05435136
21:46.6,0.1096234,0.054367747
21:46.6,0.054889757,0.054381456
21:46.6,0.027522935,0.054388326
21:46.6,0.068573169,0.054396331
21:46.6,0.032282382,0.054404739
21:46.6,0.063218787,0.054412697
21:46.6,0.017409107,0.054419417
21:46.6,0.053104963,0.054425292
21:46.6,0.003725696,0.054430027
21:46.7,-0.032565091,0.054427624
21:46.7,-0.058147125,0.054420065
21:46.7,-0.006983061,0.054414637
21:46.7,-0.003413476,0.054413769
21:46.7,-0.006983061,0.054412905
21:46.7,0.001940903,0.054412484
21:46.7,-0.015312095,0.05441137
21:46.7,0.035851967,0.05441308
21:46.7,0.034067173,0.054418907
21:46.7,0.095939994,0.054429743
21:46.8,0.078686997,0.054444294
21:46.8,0.11081327,0.054460086
21:46.8,0.14710405,0.054481581
21:46.8,0.13699023,0.054505255
21:46.8,0.1518635,0.054529328
21:46.8,0.15721788,0.054555085
21:46.8,0.12806627,0.054578859
21:46.8,0.12985106,0.054600351
21:46.8,0.13699023,0.054622591
21:46.8,0.1518635,0.05464666
21:46.9,0.14531927,0.054671425
