Time,GPM,Total Gallons
57:44.9,3.9544327,0.3513546
57:44.9,3.8760533,0.35200715
57:44.9,3.8843663,0.35265386
57:44.9,3.8724906,0.35330027
57:44.9,3.7869859,0.35393858
57:44.9,3.6729796,0.35456026
57:44.9,3.6100388,0.35516718
57:44.9,3.4568429,0.3557561
57:44.9,3.3119597,0.3563202
57:45.0,3.3048344,0.3568716
57:45.0,3.1480758,0.35740936
57:45.0,2.9930985,0.35792112
57:45.0,2.9313452,0.35841483
57:45.0,2.8719668,0.35889846
57:45.0,2.7080829,0.35936347
57:45.0,2.6760187,0.35981217
57:45.0,2.6130776,0.36025292
57:45.0,2.5531056,0.36068344
57:45.0,2.513916,0.36110571
57:45.1,2.4272237,0.36151749
57:45.1,2.38269,0.3619183
57:45.1,2.2479012,0.36230421
57:45.1,2.1938672,0.36267436
57:45.1,2.147552,0.36303616
57:45.1,2.0656099,0.36338726
57:45.1,2.0145447,0.36372727
57:45.1,1.8969758,0.36405325
57:45.1,1.8987571,0.36436954
57:45.1,1.7966264,0.36467752
57:45.1,1.7948451,0.36497679
57:45.2,1.6535249,0.36526418
57:45.2,1.6416492,0.36553878
57:45.2,1.5763332,0.36580694
57:45.2,1.5935528,0.36607111
57:45.2,1.4486699,0.36632463
57:45.2,1.4694523,0.36656782
57:45.2,1.4094802,0.36680773
57:45.2,1.3756346,0.36703983
57:45.2,1.3738532,0.36726895
57:45.2,1.3192253,0.36749339
57:45.3,1.2746916,0.36770955
57:45.3,1.2800356,0.36792246
57:45.3,1.232533,0.36813185
57:45.3,1.2800356,0.36834121
57:45.3,1.1933433,0.36854735
57:45.3,1.150591,0.36874267
57:45.3,1.1197143,0.36893186
57:45.3,1.0348034,0.36911142
57:45.3,1.0431163,0.36928457
57:45.3,1.005708,0.36945531
57:45.4,1.0021453,0.36962265
57:45.4,0.94454843,0.36978486
57:45.4,0.9338603,0.36994141
57:45.4,0.89645201,0.37009394
57:45.4,0.83172971,0.37023795
57:45.4,0.73791206,0.37036875
57:45.4,0.86082506,0.370502
57:45.4,0.81629133,0.37064174
57:45.4,0.75869441,0.37077299
57:45.4,0.80085301,0.37090296
57:45.5,0.75513172,0.37103263
57:45.5,0.69872236,0.3711538
57:45.5,0.69219077,0.3712697
57:45.5,0.69872236,0.3713856
57:45.5,0.68862808,0.37150124
57:45.5,0.65121979,0.37161288
57:45.5,0.69040942,0.37172469
57:45.5,0.63221872,0.3718349
57:45.5,0.56274617,0.3719345
57:45.6,0.56749642,0.37202868
57:45.6,0.58293474,0.37212455
57:45.6,0.61203009,0.37222412
57:45.6,0.5502767,0.37232101
57:45.6,0.56096482,0.37241361
57:45.6,0.51464975,0.37250325
57:45.6,0.51643109,0.37258917
57:45.6,0.56571507,0.37267935
57:45.6,0.55740213,0.37277293
57:45.6,0.4790228,0.3728593
57:45.7,0.44992745,0.37293673
57:45.7,0.41073778,0.37300846
57:45.7,0.37986109,0.37307432
57:45.7,0.34067145,0.37313437
57:45.7,0.31870148,0.37318933
57:45.7,0.34957817,0.37324503
57:45.7,0.27594912,0.37329715
57:45.7,0.31692013,0.37334657
57:45.7,0.28129318,0.3733964
57:45.7,0.29316884,0.37344429
57:45.8,0.32048282,0.37349543
57:45.8,0.40242484,0.37355566
57:45.8,0.40242484,0.37362275
57:45.8,0.52652544,0.37370014
57:45.8,0.6167804,0.37379542
57:45.8,0.65300113,0.37390125
57:45.8,0.80619705,0.37402284
57:45.8,0.94751734,0.37416899
57:45.8,1.0876501,0.3743386
57:45.8,1.2545029,0.37453377
57:45.8,1.3394139,0.37474993
57:45.9,1.4979538,0.37498638
57:45.9,1.5816772,0.37524304
57:45.9,1.7794068,0.37552312
57:45.9,2.0472028,0.37584201
57:45.9,2.1813977,0.37619442
57:45.9,2.2704651,0.3765654
57:45.9,2.4883833,0.37696198
57:45.9,2.6130776,0.37738711
57:45.9,2.759742,0.37783486
57:45.9,2.8891866,0.37830561
57:46.0,3.1005733,0.37880477
57:46.0,3.2555504,0.37933445
57:46.0,3.4461546,0.37989295
57:46.0,3.6765423,0.38048652
57:46.0,3.8760533,0.38111591
57:46.0,4.0120296,0.38177326
57:46.0,4.25073,0.38246185
57:46.0,4.522089,0.38319293
57:46.0,4.7483201,0.38396546
57:46.0,4.9276423,0.38477182
57:46.1,5.1319036,0.38561013
57:46.1,5.3504157,0.38648367
57:46.1,5.5528955,0.38739231
57:46.1,5.7541881,0.38833457
57:46.1,5.9346976,0.38930866
57:46.1,6.1787424,0.39031813
57:46.1,6.2535591,0.39135417
57:46.1,6.4548516,0.39241323
57:46.1,6.6181417,0.39350268
57:46.1,6.8277469,0.39462319
57:46.2,6.9643168,0.39577255
57:46.2,7.1656094,0.39695007
57:46.2,7.4037161,0.39816421
57:46.2,7.494565,0.39940575
57:46.2,7.7124829,0.40067303
57:46.2,7.8365836,0.40196881
57:46.2,7.8745856,0.40327811
57:46.2,7.9832478,0.40459961
57:46.2,7.9577155,0.40592805
57:46.2,7.7789869,0.40723947
57:46.3,7.6186652,0.40852264
57:46.3,7.3680892,0.40977156
57:46.3,7.2505202,0.41098979
57:46.3,7.0035067,0.41217765
57:46.3,6.8877192,0.41333529
57:46.3,6.606266,0.41445979
57:46.3,6.3473768,0.41553929
57:46.3,6.2054625,0.41658539
57:46.3,5.9810128,0.41760096
57:46.4,5.8871951,0.41858998
57:46.4,5.5855536,0.41954607
57:46.4,5.418107,0.42046306
57:46.4,5.2001886,0.42134795
57:46.4,5.101027,0.42220637
57:46.4,4.9460497,0.42304367
57:46.4,4.7720714,0.42385352
57:46.4,4.6616278,0.42463967
57:46.4,4.5203075,0.42540485
57:46.4,4.3873,0.42614716
57:46.4,4.3118896,0.4268721
57:46.5,4.1913519,0.42758074
57:46.5,4.0446877,0.42826709
57:46.5,3.8998046,0.42892915
57:46.5,3.7477963,0.42956644
57:46.5,3.642103,0.43018228
57:46.5,3.5726304,0.43078354
57:46.5,3.4889071,0.43137199
57:46.5,3.4241848,0.4319481
57:46.5,3.2911775,0.43250772
57:46.5,3.2454562,0.43305245
57:46.6,3.1498573,0.43358541
57:46.6,3.0049741,0.43409833
57:46.6,2.8802798,0.43458876
57:46.6,2.8155575,0.43506342
57:46.6,2.7716177,0.43552905
57:46.6,2.6777999,0.43598318
57:46.6,2.5531056,0.4364191
57:46.6,2.4373181,0.43683496
57:46.6,2.3779397,0.43723625
57:46.6,2.3197491,0.43762773
57:46.7,2.2467136,0.43800828
57:46.7,2.196836,0.43837857
57:46.7,2.1831789,0.43874359
57:46.7,2.0590785,0.43909711
57:46.7,2.0335457,0.43943816
57:46.7,2.1629903,0.43978789
57:46.7,2.3880341,0.44016716
57:46.7,2.6023896,0.44058302
57:46.7,2.9349079,0.44104448
57:46.7,3.1890469,0.44155481
57:46.8,3.4823754,0.44211078
57:46.8,3.7068253,0.44270989
57:46.8,4.0357809,0.44335511
57:46.8,4.2578554,0.44404626
57:46.8,4.5695915,0.4447819
57:46.8,4.7584143,0.44555926
57:46.8,5.0006776,0.44637254
57:46.8,5.2358155,0.4472256
57:46.8,5.5511141,0.44812453
57:46.9,5.7577505,0.44906694
57:46.9,6.0047641,0.45004717
57:46.9,6.2327766,0.45106697
57:46.9,6.4168491,0.45212114
57:46.9,6.6573315,0.45321068
57:46.9,6.8004327,0.45433217
57:46.9,6.8960319,0.45547357
57:46.9,7.0492277,0.45663571
57:46.9,7.1519523,0.45781916
57:46.9,7.2487388,0.45901924
57:47.0,7.3508697,0.46023589
57:47.0,7.5064406,0.46147403
57:47.0,7.5557246,0.46272925
57:47.0,7.6542926,0.46399677
57:47.0,7.7534542,0.46528077
57:47.0,7.942277,0.46658877
57:47.0,8.0075932,0.46791795
57:47.0,8.0075932,0.46925259
57:47.0,7.892993,0.47057766
57:47.0,7.7308903,0.47187966
57:47.1,7.5147533,0.47315016
57:47.1,7.3954029,0.47439271
57:47.1,7.1074185,0.47560129
57:47.1,6.9162207,0.47676995
57:47.1,6.7155218,0.47790596
57:47.1,6.4803839,0.47900563
57:47.1,6.2090254,0.48006311
57:47.1,6.0475163,0.4810845
57:47.1,5.9008522,0.48208022
57:47.1,5.7114353,0.48304793
57:47.1,5.5528955,0.48398665
57:47.2,5.4436398,0.48490304
57:47.2,5.3195391,0.4858
57:47.2,5.1627803,0.48667353
57:47.2,5.051743,0.48752478
57:47.2,4.7910724,0.48834503
57:47.2,4.639658,0.48913091
57:47.2,4.5642476,0.48989794
57:47.2,4.4300528,0.49064746
57:47.2,4.2459798,0.4913705
57:47.2,4.1806641,0.49207273
57:47.3,4.0155921,0.49275577
57:47.3,3.8808036,0.49341381
57:47.3,3.7804544,0.49405226
57:47.3,3.6866367,0.49467453
57:47.3,3.6165702,0.49528313
57:47.3,3.4906883,0.49587542
57:47.3,3.4004335,0.49644971
57:47.3,3.2436748,0.49700338
57:47.3,3.1498573,0.49753618
57:47.3,2.9693472,0.49804613
57:47.4,2.9093752,0.49853602
57:47.4,2.8784986,0.49901837
57:47.4,2.8072445,0.4994922
57:47.4,2.6896756,0.49995026
57:47.4,2.5667627,0.50038832
57:47.4,2.5768569,0.50081694
57:47.4,2.4474123,0.50123566
57:47.4,2.306092,0.5016318
57:47.4,2.196836,0.50200707
57:47.4,2.1303325,0.50236768
57:47.5,2.1000495,0.50272018
57:47.5,2.0228577,0.5030638
57:47.5,1.9569478,0.50339544
57:47.5,1.9379468,0.50371999
57:47.5,1.8851001,0.50403863
57:47.5,1.90707,0.5043546
57:47.5,1.8185965,0.50466508
57:47.5,1.8049395,0.50496709
57:47.5,1.6855892,0.50525796
57:47.6,1.6820265,0.50553858
57:47.6,1.6535249,0.50581658
57:47.6,1.5917715,0.50608701
57:47.6,1.4504513,0.5063405
57:47.6,1.4724212,0.50658411
57:47.6,1.3738532,0.50682127
57:47.6,1.2919112,0.50704348
57:47.6,1.336445,0.50726247
57:47.6,1.2936926,0.50748169
57:47.6,1.2099693,0.50769031
57:47.6,1.1232769,0.50788474
57:47.7,1.0484604,0.50806576
57:47.7,1.114964,0.508246
57:47.7,1.0514293,0.50842655
57:47.7,0.91367167,0.50859034
57:47.7,0.93742299,0.5087446
57:47.7,0.90832764,0.50889838
57:47.7,0.94573599,0.50905293
57:47.7,0.9338603,0.50920957
57:47.7,1.0003639,0.50937074
57:47.8,1.095963,0.50954545
57:47.8,1.2919112,0.50974441
57:47.8,1.5015166,0.50997722
57:47.8,1.6683694,0.51024139
57:47.8,1.9824805,0.51054561
57:47.8,2.2585895,0.51089907
57:47.8,2.4984777,0.5112955
57:47.8,2.7270839,0.51173097
57:47.8,2.8856239,0.51219869
57:47.8,2.9539089,0.5126853
57:47.8,2.9705348,0.51317906
57:47.9,2.8802798,0.51366663
57:47.9,2.85831,0.51414484
57:47.9,2.6641428,0.51460505
57:47.9,2.6623616,0.51504892
57:47.9,2.5346982,0.51548201
57:47.9,2.5020404,0.51590174
57:47.9,2.4711635,0.51631624
57:47.9,2.3589387,0.51671875
57:47.9,2.2069304,0.5170992
57:47.9,2.1166754,0.51745951
57:48.0,2.1137064,0.51781207
57:48.0,2.0436401,0.51815856
57:48.0,1.9397281,0.51849049
57:48.0,1.9581354,0.51881534
57:48.0,1.8987571,0.51913673
57:48.0,1.8067209,0.51944554
57:48.0,1.7912824,0.51974535
57:48.0,1.7265601,0.52003855
57:48.0,1.6683694,0.52032143
57:48.0,1.5953342,0.5205934
57:48.1,1.6036471,0.52086002
57:48.1,1.4860781,0.52111751
57:48.1,1.4813279,0.52136475
57:48.1,1.4504513,0.52160907
57:48.1,1.4605455,0.52185166
57:48.1,1.3774159,0.52208817
57:48.1,1.2764729,0.52230936
57:48.1,1.199875,0.52251571
57:48.1,1.199875,0.52271569
57:48.1,1.1131827,0.52290845
57:48.2,1.1624666,0.52309811
57:48.2,1.1042759,0.523287
57:48.2,1.0924003,0.52347004
57:48.2,1.041335,0.52364784
57:48.2,1.0431163,0.52382159
57:48.2,0.96651834,0.52398902
57:48.2,0.86082506,0.52414131
57:48.2,0.88457638,0.52428681
57:48.2,0.85073072,0.52443141
57:48.3,0.89288932,0.52457672
57:48.3,0.7705701,0.5247153
57:48.3,0.71594208,0.52483922
57:48.3,0.71416074,0.52495837
57:48.3,0.7123794,0.52507728
57:48.3,0.71594208,0.52519631
57:48.3,0.61559284,0.52530724
57:48.3,0.65775138,0.52541339
57:48.3,0.6749711,0.52552444
57:48.3,0.70406646,0.52563936
57:48.4,0.62568712,0.52575016
57:48.4,0.6815027,0.52585912
57:48.4,0.642313,0.52596945
57:48.4,0.61024874,0.52607381
57:48.4,0.59837312,0.52617455
57:48.4,0.53840107,0.52626926
57:48.4,0.51999378,0.52635747
57:48.4,0.52652544,0.52644467
57:48.4,0.53543216,0.52653319
57:48.4,0.52652544,0.52662164
57:48.5,0.44458342,0.52670258
57:48.5,0.44458342,0.52677667
57:48.5,0.39886215,0.526847
57:48.5,0.30682585,0.52690578
57:48.5,0.36620408,0.52696186
57:48.5,0.4143005,0.52702689
57:48.5,0.34779683,0.52709043
57:48.5,0.4279575,0.5271551
57:48.5,0.37154815,0.52722168
57:48.5,0.38342381,0.52728462
57:48.5,0.37986109,0.52734822
57:48.6,0.34423414,0.5274086
57:48.6,0.3561098,0.52746695
57:48.6,0.37986109,0.52752829
57:48.6,0.35432845,0.52758944
57:48.6,0.28663722,0.52764285
57:48.6,0.29138747,0.52769101
57:48.6,0.28663722,0.52773923
57:48.6,0.30860719,0.52778882
57:48.6,0.26407349,0.52783656
57:48.6,0.24032217,0.52787858
57:48.7,0.22488382,0.52791733
57:48.7,0.23022787,0.52795523
57:48.7,0.18094391,0.52798951
57:48.7,0.24032217,0.52802461
57:48.7,0.13462886,0.52805591
57:48.7,0.099001907,0.52807534
57:48.7,0.12631591,0.52809411
57:48.7,0.13284752,0.52811575
57:48.7,0.12453455,0.52813715
57:48.7,0.12453455,0.52815795
57:48.8,0.093657859,0.52817613
