Time(hh:mm:ss),Elapsed Time,Voltage I/O-1(mV),Voltage I/O-2(mV),Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,23:25:35",946,1.099,0.985,,,,
"06-Jun-16,23:25:36",947,1.102,1.071,,,,
"06-Jun-16,23:25:37",948,1.101,1.022,,,,
"06-Jun-16,23:25:38",949,1.104,1.013,,,,
"06-Jun-16,23:25:39",950,1.099,0.989,,,,
"06-Jun-16,23:25:40",951,1.102,1.016,,,,
"06-Jun-16,23:25:41",952,1.102,0.999,,,,
"06-Jun-16,23:25:42",953,1.101,0.954,,,,
"06-Jun-16,23:25:43",954,1.101,0.913,,,,
"06-Jun-16,23:25:44",955,1.099,0.91,,,,
"06-Jun-16,23:25:45",956,1.104,0.885,,,,
"06-Jun-16,23:25:46",957,1.101,0.892,,,,
"06-Jun-16,23:25:47",958,1.096,0.91,,,,
"06-Jun-16,23:25:48",959,1.102,0.895,,,,
"06-Jun-16,23:25:49",960,1.101,0.864,,,,
"06-Jun-16,23:25:50",961,1.101,0.86,,,,
"06-Jun-16,23:25:51",962,1.096,0.947,,,,
"06-Jun-16,23:25:52",963,1.099,0.894,,,,
"06-Jun-16,23:25:53",964,1.104,0.926,,,,
"06-Jun-16,23:25:54",965,1.099,0.901,,,,
"06-Jun-16,23:25:55",966,1.096,0.901,,,,
"06-Jun-16,23:25:56",967,1.102,9.582,,,,
"06-Jun-16,23:25:57",968,1.105,9.168,,,,
"06-Jun-16,23:25:58",969,1.101,9.168,,,,
"06-Jun-16,23:25:59",970,1.102,6.981,,,,
"06-Jun-16,23:26:00",971,1.099,6.981,,,,
"06-Jun-16,23:26:01",972,1.105,6.751,,,,
"06-Jun-16,23:26:02",973,1.105,6.823,,,,
"06-Jun-16,23:26:03",974,1.108,6.459,,,,
"06-Jun-16,23:26:04",975,1.106,6.57,,,,
"06-Jun-16,23:26:05",976,1.109,6.57,,,,
"06-Jun-16,23:26:06",977,1.106,6.025,,,,
"06-Jun-16,23:26:07",978,1.108,6.057,,,,
"06-Jun-16,23:26:08",979,1.104,6.31,,,,
"06-Jun-16,23:26:09",980,1.102,6.31,,,,
"06-Jun-16,23:26:10",981,1.106,5.956,,,,
"06-Jun-16,23:26:11",982,1.105,5.956,,,,
"06-Jun-16,23:26:12",983,1.109,5.956,,,,
"06-Jun-16,23:26:13",984,1.111,2.834,,,,
"06-Jun-16,23:26:14",985,1.108,2.834,,,,
"06-Jun-16,23:26:15",986,1.108,1.841,,,,
"06-Jun-16,23:26:16",987,1.099,1.559,,,,
"06-Jun-16,23:26:17",988,1.099,1.395,,,,
"06-Jun-16,23:26:18",989,1.101,1.345,,,,
"06-Jun-16,23:26:19",990,1.098,1.247,,,,
"06-Jun-16,23:26:20",991,1.096,1.18,,,,
"06-Jun-16,23:26:21",992,1.096,1.143,,,,
"06-Jun-16,23:26:22",993,1.096,1.084,,,,
"06-Jun-16,23:26:23",994,1.095,1.094,,,,
"06-Jun-16,23:26:24",995,1.096,1.056,,,,
"06-Jun-16,23:26:25",996,1.099,1.037,,,,
"06-Jun-16,23:26:26",997,1.098,0.995,,,,
"06-Jun-16,23:26:27",998,1.101,0.988,,,,
"06-Jun-16,23:26:28",999,1.099,0.968,,,,
"06-Jun-16,23:26:29",1000,1.095,0.974,,,,
"06-Jun-16,23:26:30",1001,1.101,1.03,,,,
"06-Jun-16,23:26:31",1002,1.096,1.108,,,,
"06-Jun-16,23:26:32",1003,1.095,0.991,,,,
"06-Jun-16,23:26:33",1004,1.095,1.033,,,,
"06-Jun-16,23:26:34",1005,1.101,0.927,,,,
"06-Jun-16,23:26:35",1006,1.096,0.978,,,,
"06-Jun-16,23:26:36",1007,1.095,1.032,,,,
"06-Jun-16,23:26:37",1008,1.096,1.03,,,,
"06-Jun-16,23:26:38",1009,1.099,1.047,,,,
"06-Jun-16,23:26:39",1010,1.102,1.061,,,,
"06-Jun-16,23:26:40",1011,1.102,1.067,,,,
"06-Jun-16,23:26:41",1012,1.099,1.075,,,,
"06-Jun-16,23:26:42",1013,1.111,1.091,,,,
"06-Jun-16,23:26:43",1014,1.111,1.089,,,,
"06-Jun-16,23:26:44",1015,1.105,1.126,,,,
"06-Jun-16,23:26:45",1016,1.111,1.119,,,,
"06-Jun-16,23:26:46",1017,1.099,1.115,,,,
"06-Jun-16,23:26:47",1018,1.099,1.127,,,,
"06-Jun-16,23:26:48",1019,1.101,1.125,,,,
"06-Jun-16,23:26:49",1020,1.096,1.12,,,,
"06-Jun-16,23:26:50",1021,1.095,1.129,,,,
"06-Jun-16,23:26:51",1022,1.092,1.12,,,,
"06-Jun-16,23:26:52",1023,1.102,1.12,,,,
"06-Jun-16,23:26:53",1024,1.101,12.14,,,,
"06-Jun-16,23:26:54",1025,1.101,12.14,,,,
"06-Jun-16,23:26:55",1026,1.099,9.982,,,,
"06-Jun-16,23:26:56",1027,1.104,9.606,,,,
"06-Jun-16,23:26:57",1028,1.108,9.375,,,,
"06-Jun-16,23:26:58",1029,1.108,9.25,,,,
"06-Jun-16,23:26:59",1030,1.112,9.03,,,,
"06-Jun-16,23:27:00",1031,1.108,8.799,,,,
"06-Jun-16,23:27:01",1032,1.101,8.566,,,,
"06-Jun-16,23:27:02",1033,1.104,8.173,,,,
"06-Jun-16,23:27:03",1034,1.102,8.009,,,,
"06-Jun-16,23:27:04",1035,1.106,8.009,,,,
"06-Jun-16,23:27:05",1036,1.099,3.182,,,,
"06-Jun-16,23:27:06",1037,1.104,3.182,,,,
"06-Jun-16,23:27:07",1038,1.098,2.19,,,,
"06-Jun-16,23:27:08",1039,1.102,2.045,,,,
"06-Jun-16,23:27:09",1040,1.101,1.886,,,,
"06-Jun-16,23:27:10",1041,1.099,1.732,,,,
"06-Jun-16,23:27:11",1042,1.096,1.674,,,,
"06-Jun-16,23:27:12",1043,1.099,1.633,,,,
"06-Jun-16,23:27:13",1044,1.098,1.573,,,,
"06-Jun-16,23:27:14",1045,1.099,1.478,,,,
"06-Jun-16,23:27:15",1046,1.099,1.428,,,,
"06-Jun-16,23:27:16",1047,1.099,1.392,,,,
"06-Jun-16,23:27:17",1048,1.104,1.368,,,,
"06-Jun-16,23:27:18",1049,1.101,1.343,,,,
"06-Jun-16,23:27:19",1050,1.096,1.329,,,,
"06-Jun-16,23:27:20",1051,1.101,1.305,,,,
"06-Jun-16,23:27:21",1052,1.102,1.304,,,,
"06-Jun-16,23:27:22",1053,1.102,1.28,,,,
"06-Jun-16,23:27:23",1054,1.105,1.283,,,,
"06-Jun-16,23:27:24",1055,1.106,1.266,,,,
"06-Jun-16,23:27:25",1056,1.109,1.233,,,,
"06-Jun-16,23:27:26",1057,1.108,1.225,,,,
"06-Jun-16,23:27:27",1058,1.108,1.237,,,,
"06-Jun-16,23:27:28",1059,1.106,1.218,,,,
"06-Jun-16,23:27:29",1060,1.109,1.201,,,,
"06-Jun-16,23:27:30",1061,1.111,1.192,,,,
"06-Jun-16,23:27:31",1062,1.105,1.181,,,,
"06-Jun-16,23:27:32",1063,1.111,1.177,,,,
"06-Jun-16,23:27:33",1064,1.108,1.171,,,,
"06-Jun-16,23:27:34",1065,1.111,1.164,,,,
"06-Jun-16,23:27:35",1066,1.111,1.154,,,,
"06-Jun-16,23:27:36",1067,1.105,1.15,,,,
"06-Jun-16,23:27:37",1068,1.104,1.156,,,,
"06-Jun-16,23:27:38",1069,1.113,1.151,,,,
"06-Jun-16,23:27:39",1070,1.111,1.157,,,,
"06-Jun-16,23:27:40",1071,1.113,1.143,,,,
"06-Jun-16,23:27:41",1072,1.105,1.143,,,,
"06-Jun-16,23:27:42",1073,1.12,1.144,,,,
"06-Jun-16,23:27:43",1074,1.119,1.139,,,,
"06-Jun-16,23:27:44",1075,1.111,1.136,,,,
"06-Jun-16,23:27:45",1076,1.106,1.13,,,,
"06-Jun-16,23:27:46",1077,1.112,1.135,,,,
"06-Jun-16,23:27:47",1078,1.116,1.133,,,,
"06-Jun-16,23:27:48",1079,1.113,1.127,,,,
"06-Jun-16,23:27:49",1080,1.104,1.132,,,,
"06-Jun-16,23:27:50",1081,1.099,1.127,,,,
"06-Jun-16,23:27:51",1082,1.102,1.132,,,,
"06-Jun-16,23:27:52",1083,1.108,1.126,,,,
"06-Jun-16,23:27:53",1084,1.119,1.126,,,,
"06-Jun-16,23:27:54",1085,1.12,1.13,,,,
"06-Jun-16,23:27:55",1086,1.118,1.127,,,,
"06-Jun-16,23:27:56",1087,1.112,1.126,,,,
"06-Jun-16,23:27:57",1088,1.109,1.13,,,,
"06-Jun-16,23:27:58",1089,1.108,1.132,,,,
"06-Jun-16,23:27:59",1090,1.102,1.113,,,,
"06-Jun-16,23:28:00",1091,1.106,1.085,,,,
"06-Jun-16,23:28:01",1092,1.104,1.08,,,,
"06-Jun-16,23:28:02",1093,1.106,1.075,,,,
"06-Jun-16,23:28:03",1094,1.098,1.078,,,,
"06-Jun-16,23:28:04",1095,1.096,1.088,,,,
"06-Jun-16,23:28:05",1096,1.096,1.113,,,,
"06-Jun-16,23:28:06",1097,1.091,1.102,,,,
"06-Jun-16,23:28:07",1098,1.095,1.105,,,,
"06-Jun-16,23:28:08",1099,1.094,1.102,,,,
"06-Jun-16,23:28:09",1100,1.098,1.089,,,,
"06-Jun-16,23:28:10",1101,1.092,1.096,,,,
"06-Jun-16,23:28:11",1102,1.102,1.084,,,,
"06-Jun-16,23:28:12",1103,1.106,1.091,,,,
"06-Jun-16,23:28:13",1104,1.104,1.123,,,,
"06-Jun-16,23:28:14",1105,1.109,1.123,,,,
"06-Jun-16,23:28:15",1106,1.113,1.071,,,,
"06-Jun-16,23:28:16",1107,1.111,1.075,,,,
"06-Jun-16,23:28:17",1108,1.111,1.078,,,,
"06-Jun-16,23:28:18",1109,1.116,1.089,,,,
"06-Jun-16,23:28:19",1110,1.109,1.082,,,,
"06-Jun-16,23:28:20",1111,1.115,1.074,,,,
"06-Jun-16,23:28:21",1112,1.108,1.078,,,,
"06-Jun-16,23:28:22",1113,1.116,1.096,,,,
"06-Jun-16,23:28:23",1114,1.104,1.075,,,,
"06-Jun-16,23:28:24",1115,1.101,1.074,,,,
"06-Jun-16,23:28:25",1116,1.104,1.074,,,,
"06-Jun-16,23:28:26",1117,1.108,1.08,,,,
"06-Jun-16,23:28:27",1118,1.113,1.089,,,,
"06-Jun-16,23:28:28",1119,1.108,1.077,,,,
"06-Jun-16,23:28:29",1120,1.101,1.106,,,,
"06-Jun-16,23:28:30",1121,1.101,1.084,,,,
"06-Jun-16,23:28:31",1122,1.104,1.081,,,,
"06-Jun-16,23:28:32",1123,1.102,1.077,,,,
"06-Jun-16,23:28:33",1124,1.102,1.08,,,,
"06-Jun-16,23:28:34",1125,1.113,1.087,,,,
"06-Jun-16,23:28:35",1126,1.113,1.077,,,,
"06-Jun-16,23:28:36",1127,1.116,1.077,,,,
"06-Jun-16,23:28:37",1128,1.112,1.08,,,,
"06-Jun-16,23:28:38",1129,1.119,1.078,,,,
"06-Jun-16,23:28:39",1130,1.116,1.078,,,,
"06-Jun-16,23:28:40",1131,1.113,1.08,,,,
"06-Jun-16,23:28:41",1132,1.119,1.084,,,,
"06-Jun-16,23:28:42",1133,1.118,1.078,,,,
"06-Jun-16,23:28:43",1134,1.118,1.078,,,,
"06-Jun-16,23:28:44",1135,1.118,1.08,,,,
"06-Jun-16,23:28:45",1136,1.111,1.081,,,,
"06-Jun-16,23:28:46",1137,1.115,1.085,,,,
"06-Jun-16,23:28:47",1138,1.119,1.08,,,,
"06-Jun-16,23:28:48",1139,1.118,1.098,,,,
"06-Jun-16,23:28:49",1140,1.119,1.081,,,,
"06-Jun-16,23:28:50",1141,1.113,1.078,,,,
"06-Jun-16,23:28:51",1142,1.115,1.078,,,,
"06-Jun-16,23:28:52",1143,1.111,1.071,,,,
"06-Jun-16,23:28:53",1144,1.12,1.088,,,,
"06-Jun-16,23:28:54",1145,1.118,1.085,,,,
"06-Jun-16,23:28:55",1146,1.119,1.102,,,,
"06-Jun-16,23:28:56",1147,1.108,1.108,,,,
"06-Jun-16,23:28:57",1148,1.109,1.081,,,,
"06-Jun-16,23:28:58",1149,1.108,1.074,,,,
"06-Jun-16,23:28:59",1150,1.109,1.075,,,,
"06-Jun-16,23:29:00",1151,1.111,1.075,,,,
"06-Jun-16,23:29:01",1152,1.111,1.075,,,,
"06-Jun-16,23:29:02",1153,1.104,1.078,,,,
"06-Jun-16,23:29:03",1154,1.105,1.077,,,,
"06-Jun-16,23:29:04",1155,1.106,1.078,,,,
"06-Jun-16,23:29:05",1156,1.105,1.098,,,,
"06-Jun-16,23:29:06",1157,1.106,1.106,,,,
"06-Jun-16,23:29:07",1158,1.106,1.08,,,,
"06-Jun-16,23:29:08",1159,1.118,1.089,,,,
"06-Jun-16,23:29:09",1160,1.112,1.085,,,,
"06-Jun-16,23:29:10",1161,1.111,1.078,,,,
"06-Jun-16,23:29:11",1162,1.101,1.07,,,,
"06-Jun-16,23:29:12",1163,1.096,1.067,,,,
"06-Jun-16,23:29:13",1164,1.104,1.092,,,,
"06-Jun-16,23:29:14",1165,1.113,1.073,,,,
"06-Jun-16,23:29:15",1166,1.109,1.091,,,,
"06-Jun-16,23:29:16",1167,1.109,1.091,,,,
"06-Jun-16,23:29:17",1168,1.096,1.07,,,,
"06-Jun-16,23:29:18",1169,1.094,1.074,,,,
"06-Jun-16,23:29:19",1170,1.094,1.07,,,,
"06-Jun-16,23:29:20",1171,1.091,1.077,,,,
"06-Jun-16,23:29:21",1172,1.094,1.082,,,,
"06-Jun-16,23:29:22",1173,1.098,1.077,,,,
"06-Jun-16,23:29:23",1174,1.098,1.078,,,,
"06-Jun-16,23:29:24",1175,1.101,1.077,,,,
"06-Jun-16,23:29:25",1176,1.099,1.077,,,,
"06-Jun-16,23:29:26",1177,1.102,1.087,,,,
"06-Jun-16,23:29:27",1178,1.094,1.077,,,,
"06-Jun-16,23:29:28",1179,1.101,1.111,,,,
"06-Jun-16,23:29:29",1180,1.098,1.099,,,,
"06-Jun-16,23:29:30",1181,1.098,1.094,,,,
"06-Jun-16,23:29:31",1182,1.102,1.078,,,,
"06-Jun-16,23:29:32",1183,1.098,1.081,,,,
"06-Jun-16,23:29:33",1184,1.102,1.08,,,,
"06-Jun-16,23:29:34",1185,1.104,1.078,,,,
"06-Jun-16,23:29:35",1186,1.104,1.075,,,,
"06-Jun-16,23:29:36",1187,1.111,1.067,,,,
"06-Jun-16,23:29:37",1188,1.101,1.075,,,,
"06-Jun-16,23:29:38",1189,1.108,1.074,,,,
"06-Jun-16,23:29:39",1190,1.106,1.087,,,,
"06-Jun-16,23:29:40",1191,1.104,1.092,,,,
"06-Jun-16,23:29:41",1192,1.102,1.077,,,,
"06-Jun-16,23:29:42",1193,1.101,1.071,,,,
"06-Jun-16,23:29:43",1194,1.102,1.071,,,,
"06-Jun-16,23:29:44",1195,1.104,1.074,,,,
"06-Jun-16,23:29:45",1196,1.106,1.071,,,,
"06-Jun-16,23:29:46",1197,1.108,1.074,,,,
"06-Jun-16,23:29:47",1198,1.113,1.084,,,,
"06-Jun-16,23:29:48",1199,1.111,1.095,,,,
"06-Jun-16,23:29:49",1200,1.108,1.078,,,,
"06-Jun-16,23:29:50",1201,1.111,1.074,,,,
"06-Jun-16,23:29:51",1202,1.104,1.073,,,,
"06-Jun-16,23:29:52",1203,1.109,1.067,,,,
"06-Jun-16,23:29:53",1204,1.105,1.068,,,,
"06-Jun-16,23:29:54",1205,1.108,1.091,,,,
"06-Jun-16,23:29:55",1206,1.108,1.075,,,,
"06-Jun-16,23:29:56",1207,1.109,1.091,,,,
"06-Jun-16,23:29:57",1208,1.111,1.096,,,,
"06-Jun-16,23:29:58",1209,1.108,1.096,,,,
"06-Jun-16,23:29:59",1210,1.101,1.078,,,,
"06-Jun-16,23:30:00",1211,1.098,1.064,,,,
"06-Jun-16,23:30:01",1212,1.102,1.06,,,,
"06-Jun-16,23:30:02",1213,1.104,1.067,,,,
"06-Jun-16,23:30:03",1214,1.098,1.063,,,,
"06-Jun-16,23:30:04",1215,1.105,1.094,,,,
"06-Jun-16,23:30:05",1216,1.105,1.098,,,,
"06-Jun-16,23:30:06",1217,1.111,1.077,,,,
"06-Jun-16,23:30:07",1218,1.116,1.065,,,,
"06-Jun-16,23:30:08",1219,1.119,1.071,,,,
"06-Jun-16,23:30:09",1220,1.106,1.102,,,,
"06-Jun-16,23:30:10",1221,1.118,1.071,,,,
"06-Jun-16,23:30:11",1222,1.118,1.075,,,,
"06-Jun-16,23:30:12",1223,1.123,1.092,,,,
"06-Jun-16,23:30:13",1224,1.118,1.078,,,,
"06-Jun-16,23:30:14",1225,1.112,1.104,,,,
"06-Jun-16,23:30:15",1226,1.105,1.075,,,,
"06-Jun-16,23:30:16",1227,1.104,1.101,,,,
"06-Jun-16,23:30:17",1228,1.102,1.085,,,,
"06-Jun-16,23:30:18",1229,1.098,1.087,,,,
"06-Jun-16,23:30:19",1230,1.099,1.058,,,,
"06-Jun-16,23:30:20",1231,1.096,1.087,,,,
"06-Jun-16,23:30:21",1232,1.101,1.094,,,,
"06-Jun-16,23:30:22",1233,1.105,1.082,,,,
"06-Jun-16,23:30:23",1234,1.104,1.067,,,,
"06-Jun-16,23:30:24",1235,1.104,1.065,,,,
"06-Jun-16,23:30:25",1236,1.102,1.063,,,,
"06-Jun-16,23:30:26",1237,1.108,1.089,,,,
"06-Jun-16,23:30:27",1238,1.104,1.071,,,,
"06-Jun-16,23:30:28",1239,1.109,1.068,,,,
"06-Jun-16,23:30:29",1240,1.098,1.099,,,,
"06-Jun-16,23:30:30",1241,1.096,1.081,,,,
"06-Jun-16,23:30:31",1242,1.101,1.089,,,,
"06-Jun-16,23:30:32",1243,1.104,1.087,,,,
"06-Jun-16,23:30:33",1244,1.099,1.084,,,,
"06-Jun-16,23:30:34",1245,1.096,1.078,,,,
"06-Jun-16,23:30:35",1246,1.101,1.102,,,,
"06-Jun-16,23:30:36",1247,1.096,1.085,,,,
"06-Jun-16,23:30:37",1248,1.101,1.085,,,,
"06-Jun-16,23:30:38",1249,1.101,1.095,,,,
"06-Jun-16,23:30:39",1250,1.102,1.082,,,,
"06-Jun-16,23:30:40",1251,1.096,1.087,,,,
"06-Jun-16,23:30:41",1252,1.094,1.064,,,,
"06-Jun-16,23:30:42",1253,1.102,1.085,,,,
"06-Jun-16,23:30:43",1254,1.105,1.064,,,,
"06-Jun-16,23:30:44",1255,1.102,1.074,,,,
"06-Jun-16,23:30:45",1256,1.098,1.061,,,,
"06-Jun-16,23:30:46",1257,1.101,1.07,,,,
"06-Jun-16,23:30:47",1258,1.102,1.084,,,,
"06-Jun-16,23:30:48",1259,1.102,1.077,,,,
"06-Jun-16,23:30:49",1260,1.119,1.092,,,,
"06-Jun-16,23:30:50",1261,1.115,1.065,,,,
"06-Jun-16,23:30:51",1262,1.105,1.101,,,,
"06-Jun-16,23:30:52",1263,1.109,1.078,,,,
"06-Jun-16,23:30:53",1264,1.102,1.07,,,,
"06-Jun-16,23:30:54",1265,1.115,1.073,,,,
"06-Jun-16,23:30:55",1266,1.113,1.085,,,,
"06-Jun-16,23:30:56",1267,1.113,1.06,,,,
"06-Jun-16,23:30:57",1268,1.111,1.056,,,,
"06-Jun-16,23:30:58",1269,1.104,1.056,,,,
"06-Jun-16,23:30:59",1270,1.111,1.051,,,,
"06-Jun-16,23:31:00",1271,1.119,1.058,,,,
"06-Jun-16,23:31:01",1272,1.108,1.073,,,,
"06-Jun-16,23:31:02",1273,1.109,1.085,,,,
"06-Jun-16,23:31:03",1274,1.112,1.084,,,,
"06-Jun-16,23:31:04",1275,1.099,1.088,,,,
"06-Jun-16,23:31:05",1276,1.104,1.095,,,,
"06-Jun-16,23:31:06",1277,1.098,1.177,,,,
"06-Jun-16,23:31:07",1278,1.102,1.257,,,,
"06-Jun-16,23:31:08",1279,1.105,1.274,,,,
"06-Jun-16,23:31:09",1280,1.105,1.291,,,,
"06-Jun-16,23:31:10",1281,1.108,1.309,,,,
"06-Jun-16,23:31:11",1282,1.108,1.342,,,,
"06-Jun-16,23:31:12",1283,1.106,1.352,,,,
"06-Jun-16,23:31:13",1284,1.105,1.357,,,,
"06-Jun-16,23:31:14",1285,1.108,1.363,,,,
"06-Jun-16,23:31:15",1286,1.115,1.349,,,,
"06-Jun-16,23:31:16",1287,1.115,1.319,,,,
"06-Jun-16,23:31:17",1288,1.119,1.295,,,,
"06-Jun-16,23:31:18",1289,1.115,1.274,,,,
"06-Jun-16,23:31:19",1290,1.116,1.26,,,,
"06-Jun-16,23:31:20",1291,1.119,1.27,,,,
"06-Jun-16,23:31:21",1292,1.113,1.24,,,,
"06-Jun-16,23:31:22",1293,1.119,1.233,,,,
"06-Jun-16,23:31:23",1294,1.119,1.219,,,,
"06-Jun-16,23:31:24",1295,1.116,1.208,,,,
"06-Jun-16,23:31:25",1296,1.122,1.199,,,,
"06-Jun-16,23:31:26",1297,1.115,1.198,,,,
"06-Jun-16,23:31:27",1298,1.12,1.197,,,,
"06-Jun-16,23:31:28",1299,1.122,1.189,,,,
"06-Jun-16,23:31:29",1300,1.12,1.18,,,,
"06-Jun-16,23:31:30",1301,1.125,1.174,,,,
"06-Jun-16,23:31:31",1302,1.118,1.198,,,,
"06-Jun-16,23:31:32",1303,1.119,1.173,,,,
"06-Jun-16,23:31:33",1304,1.113,1.167,,,,
"06-Jun-16,23:31:34",1305,1.119,1.161,,,,
"06-Jun-16,23:31:35",1306,1.115,1.175,,,,
"06-Jun-16,23:31:36",1307,1.12,1.157,,,,
"06-Jun-16,23:31:37",1308,1.12,1.161,,,,
"06-Jun-16,23:31:38",1309,1.12,1.158,,,,
"06-Jun-16,23:31:39",1310,1.123,1.157,,,,
"06-Jun-16,23:31:40",1311,1.122,1.153,,,,
"06-Jun-16,23:31:41",1312,1.112,1.161,,,,
"06-Jun-16,23:31:42",1313,1.113,1.154,,,,
"06-Jun-16,23:31:43",1314,1.108,1.143,,,,
"06-Jun-16,23:31:44",1315,1.111,1.149,,,,
"06-Jun-16,23:31:45",1316,1.109,1.14,,,,
"06-Jun-16,23:31:46",1317,1.111,1.14,,,,
"06-Jun-16,23:31:47",1318,1.115,1.142,,,,
"06-Jun-16,23:31:48",1319,1.109,1.146,,,,
"06-Jun-16,23:31:49",1320,1.102,1.146,,,,
"06-Jun-16,23:31:50",1321,1.105,1.142,,,,
"06-Jun-16,23:31:51",1322,1.105,1.139,,,,
"06-Jun-16,23:31:52",1323,1.106,1.142,,,,
"06-Jun-16,23:31:53",1324,1.112,1.144,,,,
"06-Jun-16,23:31:54",1325,1.115,1.146,,,,
"06-Jun-16,23:31:55",1326,1.119,1.139,,,,
"06-Jun-16,23:31:56",1327,1.106,1.163,,,,
"06-Jun-16,23:31:57",1328,1.102,1.133,,,,
"06-Jun-16,23:31:58",1329,1.104,1.136,,,,
"06-Jun-16,23:31:59",1330,1.112,1.133,,,,
"06-Jun-16,23:32:00",1331,1.113,1.129,,,,
"06-Jun-16,23:32:01",1332,1.118,1.132,,,,
"06-Jun-16,23:32:02",1333,1.102,1.132,,,,
"06-Jun-16,23:32:03",1334,1.081,1.144,,,,
"06-Jun-16,23:32:04",1335,1.071,1.147,,,,
"06-Jun-16,23:32:05",1336,1.073,1.153,,,,
"06-Jun-16,23:32:06",1337,1.067,1.153,,,,
"06-Jun-16,23:32:07",1338,1.068,1.149,,,,
"06-Jun-16,23:32:08",1339,1.067,1.149,,,,
"06-Jun-16,23:32:09",1340,1.061,1.151,,,,
"06-Jun-16,23:32:10",1341,1.07,1.14,,,,
"06-Jun-16,23:32:11",1342,1.068,1.136,,,,
"06-Jun-16,23:32:12",1343,1.073,1.157,,,,
"06-Jun-16,23:32:13",1344,1.095,1.16,,,,
"06-Jun-16,23:32:14",1345,1.095,1.14,,,,
"06-Jun-16,23:32:15",1346,1.094,1.133,,,,
"06-Jun-16,23:32:16",1347,1.095,1.137,,,,
"06-Jun-16,23:32:17",1348,1.098,1.139,,,,
"06-Jun-16,23:32:18",1349,1.098,1.144,,,,
"06-Jun-16,23:32:19",1350,1.253,1.29,,,,
"06-Jun-16,23:32:20",1351,1.676,1.626,,,,
"06-Jun-16,23:32:21",1352,1.939,1.797,,,,
"06-Jun-16,23:32:22",1353,1.993,1.759,,,,
"06-Jun-16,23:32:23",1354,2.027,1.77,,,,
"06-Jun-16,23:32:24",1355,2.069,1.801,,,,
"06-Jun-16,23:32:25",1356,2.082,1.794,,,,
"06-Jun-16,23:32:26",1357,2.06,1.787,,,,
"06-Jun-16,23:32:27",1358,2.058,1.78,,,,
"06-Jun-16,23:32:28",1359,2.053,1.78,,,,
"06-Jun-16,23:32:29",1360,2.053,1.78,,,,
"06-Jun-16,23:32:30",1361,2.046,1.776,,,,
"06-Jun-16,23:32:31",1362,1.975,1.695,,,,
"06-Jun-16,23:32:32",1363,1.838,1.611,,,,
"06-Jun-16,23:32:33",1364,1.773,1.567,,,,
"06-Jun-16,23:32:34",1365,1.755,1.559,,,,
"06-Jun-16,23:32:35",1366,1.742,1.557,,,,
"06-Jun-16,23:32:36",1367,1.745,1.553,,,,
"06-Jun-16,23:32:37",1368,1.746,1.559,,,,
"06-Jun-16,23:32:38",1369,1.742,1.556,,,,
"06-Jun-16,23:32:39",1370,1.738,1.556,,,,
"06-Jun-16,23:32:40",1371,1.739,1.562,,,,
"06-Jun-16,23:32:41",1372,1.735,1.564,,,,
"06-Jun-16,23:32:42",1373,1.736,1.56,,,,
"06-Jun-16,23:32:43",1374,2.117,1.208,,,,
"06-Jun-16,23:32:44",1375,2.117,1.208,,,,
"06-Jun-16,23:32:45",1376,3.103,0.358,,,,
"06-Jun-16,23:32:46",1377,3.251,0.183,,,,
"06-Jun-16,23:32:47",1378,3.487,0.096,,,,
"06-Jun-16,23:32:48",1379,3.66,0.055,,,,
"06-Jun-16,23:32:49",1380,3.74,0.037,,,,
"06-Jun-16,23:32:50",1381,3.77,0.028,,,,
"06-Jun-16,23:32:51",1382,3.783,0.03,,,,
"06-Jun-16,23:32:52",1383,3.794,0.025,,,,
"06-Jun-16,23:32:53",1384,3.8,0.025,,,,
"06-Jun-16,23:32:54",1385,3.801,0.024,,,,
"06-Jun-16,23:32:55",1386,3.797,0.021,,,,
"06-Jun-16,23:32:56",1387,3.802,0.021,,,,
"06-Jun-16,23:32:57",1388,3.801,0.017,,,,
"06-Jun-16,23:32:58",1389,3.804,0.021,,,,
"06-Jun-16,23:32:59",1390,3.802,0.017,,,,
"06-Jun-16,23:33:00",1391,3.802,0.016,,,,
"06-Jun-16,23:33:01",1392,3.798,0.024,,,,
"06-Jun-16,23:33:02",1393,3.795,0.014,,,,
"06-Jun-16,23:33:03",1394,3.79,0.013,,,,
"06-Jun-16,23:33:04",1395,3.774,0.018,,,,
"06-Jun-16,23:33:05",1396,3.776,0.014,,,,
"06-Jun-16,23:33:06",1397,3.767,0.017,,,,
"06-Jun-16,23:33:07",1398,3.76,0.014,,,,
"06-Jun-16,23:33:08",1399,3.757,0.011,,,,
"06-Jun-16,23:33:09",1400,3.759,0.013,,,,
"06-Jun-16,23:33:10",1401,3.762,0.014,,,,
"06-Jun-16,23:33:11",1402,3.759,0.016,,,,
"06-Jun-16,23:33:12",1403,3.762,0.008,,,,
"06-Jun-16,23:33:13",1404,3.759,0.013,,,,
"06-Jun-16,23:33:14",1405,3.757,0.017,,,,
"06-Jun-16,23:33:15",1406,3.757,0.018,,,,
"06-Jun-16,23:33:16",1407,3.759,0.018,,,,
"06-Jun-16,23:33:17",1408,3.75,0.016,,,,
"06-Jun-16,23:33:18",1409,3.75,0.011,,,,
"06-Jun-16,23:33:19",1410,3.753,0.008,,,,
