Time(hh:mm:ss),Elapsed Time,Voltage I/O-1(mV),Voltage I/O-2(mV),Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,23:14:36",287,0.995,1.011,,,,
"06-Jun-16,23:14:37",288,0.991,1.012,,,,
"06-Jun-16,23:14:38",289,0.989,1.011,,,,
"06-Jun-16,23:14:39",290,1.001,1.03,,,,
"06-Jun-16,23:14:40",291,1.049,1.074,,,,
"06-Jun-16,23:14:41",292,1.029,1.051,,,,
"06-Jun-16,23:14:42",293,1.005,1.032,,,,
"06-Jun-16,23:14:43",294,0.996,1.023,,,,
"06-Jun-16,23:14:44",295,0.991,1.023,,,,
"06-Jun-16,23:14:45",296,0.992,1.022,,,,
"06-Jun-16,23:14:46",297,0.989,1.02,,,,
"06-Jun-16,23:14:47",298,0.994,1.019,,,,
"06-Jun-16,23:14:48",299,0.994,1.016,,,,
"06-Jun-16,23:14:49",300,0.995,1.018,,,,
"06-Jun-16,23:14:50",301,0.998,1.015,,,,
"06-Jun-16,23:14:51",302,0.996,1.016,,,,
"06-Jun-16,23:14:52",303,0.995,1.015,,,,
"06-Jun-16,23:14:53",304,0.994,1.016,,,,
"06-Jun-16,23:14:54",305,0.992,1.016,,,,
"06-Jun-16,23:14:55",306,0.988,1.013,,,,
"06-Jun-16,23:14:56",307,0.985,1.016,,,,
"06-Jun-16,23:14:57",308,0.999,1.03,,,,
"06-Jun-16,23:14:58",309,1.011,1.04,,,,
"06-Jun-16,23:14:59",310,1.013,1.049,,,,
"06-Jun-16,23:15:00",311,1.016,1.049,,,,
"06-Jun-16,23:15:01",312,1.013,1.049,,,,
"06-Jun-16,23:15:02",313,1.016,1.049,,,,
"06-Jun-16,23:15:03",314,1.02,1.05,,,,
"06-Jun-16,23:15:04",315,1.016,1.047,,,,
"06-Jun-16,23:15:05",316,1.013,1.046,,,,
"06-Jun-16,23:15:06",317,1.018,1.047,,,,
"06-Jun-16,23:15:07",318,1.015,1.046,,,,
"06-Jun-16,23:15:08",319,1.015,1.049,,,,
"06-Jun-16,23:15:09",320,1.012,1.05,,,,
"06-Jun-16,23:15:10",321,1.013,1.047,,,,
"06-Jun-16,23:15:11",322,1.013,1.053,,,,
"06-Jun-16,23:15:12",323,1.013,1.049,,,,
"06-Jun-16,23:15:13",324,1.013,1.051,,,,
"06-Jun-16,23:15:14",325,1.015,1.051,,,,
"06-Jun-16,23:15:15",326,1.019,1.051,,,,
"06-Jun-16,23:15:16",327,1.016,1.049,,,,
"06-Jun-16,23:15:17",328,1.018,1.053,,,,
"06-Jun-16,23:15:18",329,1.016,1.054,,,,
"06-Jun-16,23:15:19",330,1.015,1.053,,,,
"06-Jun-16,23:15:20",331,1.016,1.051,,,,
"06-Jun-16,23:15:21",332,1.018,1.054,,,,
"06-Jun-16,23:15:22",333,1.015,1.058,,,,
"06-Jun-16,23:15:23",334,1.016,1.058,,,,
"06-Jun-16,23:15:24",335,1.018,1.054,,,,
"06-Jun-16,23:15:25",336,1.019,1.054,,,,
"06-Jun-16,23:15:26",337,1.015,1.056,,,,
"06-Jun-16,23:15:27",338,1.016,1.061,,,,
"06-Jun-16,23:15:28",339,1.018,1.063,,,,
"06-Jun-16,23:15:29",340,1.019,1.06,,,,
"06-Jun-16,23:15:30",341,1.016,1.056,,,,
"06-Jun-16,23:15:31",342,1.02,1.054,,,,
"06-Jun-16,23:15:32",343,1.023,1.061,,,,
"06-Jun-16,23:15:33",344,1.018,1.053,,,,
"06-Jun-16,23:15:34",345,1.018,1.054,,,,
"06-Jun-16,23:15:35",346,1.02,1.056,,,,
"06-Jun-16,23:15:36",347,1.022,1.051,,,,
