Time,HF from Skin Temp Vic 1,HF from Skin Temp Vic 3,"Vic 1, surface necrosis","Vic 3, surface necrosis","Vic 1, 2 mm necrosis","Vic 3, 2 mm Necrosis","Vic 1, 10 mm necrosis","Vic 3, 10 mm necrosis",Vic 1 necrosis depth,Vic 3 necrosis depth
11.84999999999996,2150,750,1.01,0.020992074325667687,1.01,0.0006678008229807334,0.00013381416405438664,0.00010555792768994146,3.4000000000000004,0.0
11.883333333333294,1800,850,1.01,0.022740616253584398,1.01,0.0006921847682408221,0.00013475529312532893,0.00010587783118282438,3.4000000000000004,0.0
11.916666666666627,1600,800,1.01,0.024660197023958504,1.01,0.0007179379117379361,0.00013571306913764345,0.00010619902072827983,3.4000000000000004,0.0
11.94999999999996,1600,900,1.01,0.02659707976997479,1.01,0.000745110935575868,0.00013668796194854895,0.00010652151220054092,3.5,0.0
11.983333333333293,1550,1050,1.01,0.02883762398759849,1.01,0.0007737562163036242,0.00013768045467257536,0.00010684532177752941,3.5,0.0
12.016666666666627,1950,850,1.01,0.03175798794965458,1.01,0.0008039551636712101,0.0001386910439563277,0.00010717046594670085,3.5,0.0
12.04999999999996,2000,1050,1.01,0.034522176888612026,1.01,0.0008358050967033306,0.000139720240226386,0.0001074969615113471,3.5,0.0
12.083333333333293,2150,950,1.01,0.038077667796392003,1.01,0.0008694241140206269,0.00014076856790971382,0.00010782482559739017,3.6,0.0
12.116666666666626,2050,950,1.01,0.041792704422127035,1.01,0.0009049447582828084,0.0001418365656274714,0.00010815407566067785,3.6,0.0
12.14999999999996,2350,950,1.01,0.04579365592861702,1.01,0.0009425032952210473,0.00014292478636456694,0.0001084847294947674,3.6,0.0
12.183333333333293,2850,950,1.01,0.0501113861299755,1.01,0.0009822340669247084,0.0001440337976185532,0.00010881680523915691,3.6,0.0
12.216666666666626,2450,1000,1.01,0.05476570981734681,1.01,0.0010242687448376404,0.00014516418153250987,0.00010915032138790224,3.6,0.0
12.24999999999996,2550,1150,1.01,0.06006238493036518,1.01,0.0010687460746846497,0.0001463165350172824,0.00010948529679854048,3.7,0.0
12.283333333333292,3050,850,1.01,0.06698344500768226,1.01,0.0011158452728210198,0.00014749146986889575,0.00010982175070123191,3.7,0.0
12.316666666666626,2600,1050,1.01,0.07288895172979515,1.01,0.0011657447555499661,0.00014868961288718477,0.00011015970270803132,3.7,0.0
12.349999999999959,4100,1000,1.01,0.08011369435614711,1.01,0.0012186202897884661,0.00014991160600173498,0.00011049917282220673,3.7,0.0
12.383333333333292,3750,950,1.01,0.0878297185772948,1.01,0.0012746517770417557,0.00015115810641113994,0.0001108401814475354,3.7,0.0
12.416666666666625,3100,1050,1.01,0.09570274489489869,1.01,0.001334012987999953,0.00015242978674142983,0.00011118274939752351,3.8000000000000003,0.0
12.449999999999958,3300,1050,1.01,0.10492513119924067,1.01,0.0013968876848590784,0.00015372733522940648,0.00011152689790451199,3.8000000000000003,0.0
12.483333333333292,3750,1350,1.01,0.1152145597752362,1.01,0.0014634854797617798,0.00015505145593658088,0.00011187264862864769,3.8000000000000003,0.0
12.516666666666625,3350,1000,1.01,0.13103268183579764,1.01,0.0015341240146598328,0.00015640286899942777,0.00011222002366671142,3.8000000000000003,0.0
12.549999999999958,2950,1000,1.01,0.1449663113594942,1.01,0.0016091722744683947,0.00015778231092174557,0.00011256904556080445,3.8000000000000003,0.0
12.583333333333291,2800,850,1.01,0.15912296187027541,1.01,0.001688971327731858,0.00015919053491510545,0.0001129197373069011,3.9000000000000004,0.0
12.616666666666625,2750,1100,1.01,0.17162182266523576,1.01,0.0017737588104688763,0.0001606283112936949,0.00011327212236327714,3.9000000000000004,0.0
12.649999999999958,2300,1100,1.01,0.18756452185750858,1.01,0.0018637356452972564,0.00016209642793019768,0.00011362622465882575,3.9000000000000004,0.0
12.683333333333291,2650,1150,1.01,0.2057865938627117,1.01,0.001959146869820007,0.000163595690779579,0.00011398206860127364,3.9000000000000004,0.0
12.716666666666624,2350,1050,1.01,0.2272830450814546,1.01,0.0020603274450565596,0.0001651269244777658,0.00011433967908531168,4.0,0.0
12.749999999999957,2500,1100,1.01,0.24915579507286478,1.01,0.002167662969320682,0.0001666909730222021,0.00011469908150065693,4.0,0.0
12.78333333333329,2600,1050,1.01,0.2736586966685891,1.01,0.002281564767762805,0.00016828870054096202,0.00011506030174006433,4.0,0.0
12.816666666666624,2300,1050,1.01,0.29912130392162134,1.01,0.002402443251476556,0.00016992099215634653,0.00011542336620730578,4.0,0.0
12.849999999999957,3300,900,1.01,0.32615309716594615,1.01,0.0025306935089066634,0.000171588754947717,0.00011578830182513037,4.0,0.0
12.88333333333329,2700,1200,1.01,0.35057167065071904,1.01,0.002666620396689986,0.00017329291901686282,0.00011615513604321391,4.1000000000000005,0.0
12.916666666666623,2950,1150,1.01,0.3839063556817874,1.01,0.0028105652635340905,0.0001750344386574794,0.00011652389684609664,4.1000000000000005,0.0
12.949999999999957,3500,1000,1.01,0.421347047448857,1.01,0.002962997770612867,0.00017681429362830582,0.00011689461276109991,4.1000000000000005,0.0
12.98333333333329,2800,1150,1.01,0.45679599691513345,1.01,0.0031244231521522737,0.00017863349052732805,0.00011726731286620408,4.1000000000000005,0.0
13.016666666666623,3500,900,1.01,0.4993723829604117,1.01,0.003295386329117437,0.00018049306426254192,0.00011764202679786254,4.2,0.0
13.049999999999956,3950,1250,1.01,0.5357979781268989,1.01,0.0034763412696377804,0.0001823940796132437,0.00011801878475872156,4.2,0.0
13.08333333333329,4300,1200,1.01,0.5873833481692816,1.01,0.0036678098553969743,0.00018433763287460658,0.00011839761752521077,4.2,0.0
13.116666666666623,3650,1000,1.01,0.646334616345924,1.01,0.003870505899639251,0.00018632485357753827,0.00011877855645496702,4.2,0.0
13.149999999999956,3650,1000,1.01,0.6998966962036841,1.01,0.004085170603386352,0.00018835690627588266,0.00011916163349405286,4.3,0.0
13.18333333333329,4200,1050,1.01,0.7535497843692387,1.01,0.004312420972845097,0.00019043499239391229,0.00011954688118393322,4.3,0.0
13.216666666666622,4850,850,1.01,0.8115871448728178,1.01,0.0045527719070658805,0.0001925603521283925,0.00011993433266817669,4.3,0.0
13.249999999999956,5450,1100,1.01,0.8611307912411565,1.01,0.004806520286150129,0.0001947342664011697,0.0001203240216988549,4.3,0.0
13.283333333333289,6350,1150,1.01,0.9229160638879402,1.01,0.005073935380748563,0.0001969580588606645,0.00012071598264262111,4.4,0.0
