Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0.0000,#0,#0.0
00:12:43,762.993,-2.339491E-05 , 1.954243E-02 ,-0.0944781 , 20.94008 , 6.104032 , 2.898217E-03 , 17.37696 , 0.4184258 , 42.85524 , 17.16897 , 17.14409 , 17.34527 , 16.62621 , 17.35651 , 16.55395 , 16.35481 , 16.35481 , 16.25081 , 762.993 , 290.5269 , 12.53699 , 9.918923 , 70.6195 , 0 , 41.52638 , 0.2094536 , 0.2094536 , 2.990002 , 4.298395 
00:12:44,763.991, 2.641751E-05 , 2.035063E-02 ,-4.688908E-02 , 20.9408 , 6.098245 , 4.209359E-03 , 17.38487 , 0.4223965 , 42.86335 , 17.21539 , 17.18149 , 17.2854 , 16.61404 , 17.38487 , 16.58012 , 16.40589 , 16.39003 , 16.24066 , 763.991 , 290.5349 , 12.59651 , 10.40343 , 70.6304 , 0 , 41.52638 , 0.2094512 , 0.2094512 , 3.433158 , 4.3016 
00:12:45,764.989, 6.655761E-05 , 2.022592E-02 ,-2.779185E-02 , 20.94105 , 6.119377 , 3.535269E-03 , 17.36061 , 0.4048193 , 42.88162 , 17.1821 , 17.10969 , 17.37185 , 16.66203 , 17.37867 , 16.57391 , 16.40189 , 16.41553 , 16.26395 , 764.989 , 290.5106 , 12.33112 , 10.37086 , 70.64117 , 0 , 41.52638 , 0.2094476 , 0.2094476 , 4.990269 , 4.305803 
00:12:46,765.988,-1.874011E-06 , 1.981867E-02 ,-9.817549E-02 , 20.94029 , 6.061596 , 4.083429E-03 , 17.35992 , 0.4419091 , 42.90529 , 17.14069 , 17.09776 , 17.45257 , 16.65912 , 17.37797 , 16.52786 , 16.38994 , 16.43752 , 16.25182 , 765.988 , 290.5099 , 12.88362 , 10.75878 , 70.65269 , 4.447899 , 41.52638 , 0.2094315 , 0.2094315 , 13.69179 , 4.315135 
00:12:47,767.002,-1.348079E-05 , 1.991653E-02 ,-3.316779E-02 , 20.94129 , 6.041903 , 2.631544E-03 , 17.37657 , 0.4132798 , 42.82871 , 17.09194 , 16.98782 , 17.41968 , 16.56278 , 17.34729 , 16.45861 , 16.38412 , 16.36605 , 16.23696 , 767.002 , 290.5266 , 12.45966 , 8.945972 , 70.66052 , 3.762371 , 41.52638 , 0.2094204 , 0.2094204 , 18.51587 , 4.331464 
00:12:48,768, 3.681525E-05 , 1.954874E-02 ,-0.0947345 , 20.94107 , 6.036883 , 2.898217E-03 , 17.3333 , 0.4324957 , 42.81051 , 17.08919 , 16.93772 , 17.46887 , 16.51247 , 17.33772 , 16.44702 , 16.4424 , 16.28862 , 16.1822 , 768 , 290.4833 , 12.74508 , 8.689707 , 70.66766 , 1.088423 , 41.52638 , 0.2094217 , 0.2094217 , 18.71807 , 4.350044 
00:12:49,768.999, 2.061412E-05 , 1.990706E-02 ,-9.317772E-02 , 20.94248 , 6.030054 , 2.675989E-03 , 17.35364 , 0.4218177 , 42.82158 , 17.0712 , 16.93539 , 17.55017 , 16.51715 , 17.33098 , 16.37905 , 16.45612 , 16.30215 , 16.18006 , 768.999 , 290.5036 , 12.5872 , 8.630347 , 70.67464 , 5.722011 , 41.52638 , 0.2094188 , 0.2094188 , 20.10285 , 4.369435 
00:12:50,769.997, 4.431129E-05 , 0.0200807 ,-3.135675E-02 , 20.94267 , 6.07122 , 3.172297E-03 , 17.4396 , 0.3956705 , 42.8594 , 17.10063 , 16.97625 , 17.69946 , 16.62586 , 17.32208 , 16.47192 , 16.58051 , 16.30228 , 16.22537 , 769.997 , 290.5896 , 12.19264 , 10.08757 , 70.68457 , 0.7859436 , 41.52638 , 0.2094175 , 0.2094175 , 19.81482 , 4.389354 
00:12:51,770.995, 5.495083E-05 , 2.040272E-02 ,-0.103367 , 20.94222 , 6.007236 , 3.283411E-03 , 17.39447 , 0.4086955 , 42.89692 , 17.04645 , 16.99891 , 17.75138 , 16.69149 , 17.32668 , 16.5241 , 16.54438 , 16.25027 , 16.18461 , 770.995 , 290.5445 , 12.39074 , 10.29453 , 70.69486 , 1.804848 , 41.52638 , 0.2094169 , 0.2094169 , 20.58035 , 4.409511 
00:12:52,771.994, 2.545028E-05 , 2.013279E-02 ,-4.400451E-02 , 20.94251 , 6.065373 , 4.438994E-03 , 17.48135 , 0.4537573 , 42.88892 , 17.07219 , 16.93656 , 17.79533 , 16.74673 , 17.35241 , 16.55445 , 16.56791 , 16.24449 , 16.17422 , 771.994 , 290.6313 , 13.05792 , 11.24673 , 70.70705 , 0 , 41.52638 , 0.2094169 , 0.2094169 , 21.57949 , 4.43057 
00:12:53,772.992,-2.242768E-05 , 1.993548E-02 ,-3.741565E-02 , 20.94142 , 6.021733 , 2.987108E-03 , 17.46054 , 0.45516 , 42.86657 , 17.05156 , 16.95887 , 17.88077 , 16.84811 , 17.36568 , 16.56534 , 16.60387 , 16.13771 , 16.17626 , 772.992 , 290.6105 , 13.07762 , 11.72317 , 70.72011 , 0 , 41.52638 , 0.2094193 , 0.2094193 , 20.69392 , 4.451664 
00:12:54,773.991, 4.89661E-06 , 0.0199781 ,-7.687474E-02 , 20.94147 , 6.070669 , 4.461216E-03 , 17.36869 , 0.4490003 , 42.86951 , 17.05697 , 16.92355 , 17.94269 , 16.94161 , 17.39356 , 16.56854 , 16.57757 , 16.12044 , 16.19071 , 773.991 , 290.5187 , 12.98678 , 12.04887 , 70.73376 , 0.3071811 , 41.52638 , 0.2094205 , 0.2094205 , 20.09934 , 4.472041 
00:12:55,774.989,-4.05028E-06 , 1.949507E-02 ,-3.779764E-02 , 20.94159 , 6.035432 , 1.17225E-03 , 17.4516 , 0.4288345 , 42.85546 , 17.09218 , 16.94292 , 18.00953 , 16.92946 , 17.34532 , 16.60155 , 16.53814 , 16.0677 , 16.24181 , 774.989 , 290.6016 , 12.6936 , 11.93749 , 70.7471 , 0 , 41.52638 , 0.2094291 , 0.2094291 , 15.3096 , 4.48971 
00:12:56,775.987,-1.37226E-05 , 1.985655E-02 ,-0.1165376 , 20.94092 , 6.075835 , 4.446401E-03 , 17.47584 , 0.4125897 , 42.89471 , 17.10519 , 16.94008 , 18.08346 , 16.95814 , 17.3854 , 16.58047 , 16.51502 , 16.08958 , 16.28416 , 775.987 , 290.6258 , 12.45137 , 12.23289 , 70.76095 , 1.976341 , 41.52638 , 0.2094381 , 0.2094381 , 10.51132 , 4.502594 
00:12:57,777.001, 4.189321E-05 , 1.991022E-02 ,-6.880487E-02 , 20.94021 , 6.046075 , 4.898264E-03 , 17.5391 , 0.4339836 , 42.92599 , 17.13917 , 17.02161 , 18.11281 , 16.98771 , 17.39451 , 16.58516 , 16.56931 , 16.08524 , 16.33182 , 777.001 , 290.6891 , 12.7715 , 13.4343 , 70.77739 , 3.082016 , 41.52638 , 0.2094213 , 0.2094213 , 18.6738 , 4.517391 
00:12:58,778, 3.971694E-05 , 2.006965E-02 ,-6.336387E-02 , 20.94024 , 6.110871 , 3.71305E-03 , 17.56679 , 0.4143621 , 42.91759 , 17.13519 , 17.0379 , 18.08858 , 16.99718 , 17.39053 , 16.55628 , 16.56532 , 16.06538 , 16.35051 , 778 , 290.7168 , 12.48004 , 13.00372 , 70.79262 , 3.105988 , 41.52638 , 0.2094105 , 0.2094105 , 24.66648 , 4.53904 
00:12:59,778.998, 2.762655E-05 , 1.987549E-02 ,-0.1313593 , 20.94 , 6.063922 , 5.076046E-03 , 17.50459 , 0.5046651 , 42.89419 , 17.14519 , 16.9847 , 18.02421 , 17.01418 , 17.40513 , 16.50767 , 16.61164 , 16.1027 , 16.38099 , 778.998 , 290.6546 , 13.7715 , 14.31741 , 70.81037 , 0 , 41.52638 , 0.2094235 , 0.2094235 , 19.53497 , 4.561096 
00:12:60,779.997,-1.952598E-05 , 1.972237E-02 ,-6.607067E-02 , 20.93964 , 6.02333 , 3.71305E-03 , 17.54132 , 0.5419271 , 42.92799 , 17.13016 , 16.9763 , 18.06772 , 17.12334 , 17.39452 , 16.52636 , 16.54443 , 16.21417 , 16.42901 , 779.997 , 290.6913 , 14.27176 , 15.63399 , 70.83067 , 0 , 41.52638 , 0.2094157 , 0.2094157 , 24.66823 , 4.583176 
00:13:01,780.995,-2.841242E-06 , 1.983129E-02 ,-7.732941E-02 , 20.93803 , 6.04497 , 2.957478E-03 , 17.5288 , 0.4964499 , 42.9132 , 17.11523 , 16.89816 , 18.15442 , 17.29155 , 17.40447 , 16.48211 , 16.58167 , 16.26268 , 16.35322 , 780.995 , 290.6788 , 13.65952 , 15.42097 , 70.85038 , 2.448212 , 41.52638 , 0.2094149 , 0.2094149 , 23.78831 , 4.607356 
00:13:02,781.993,-2.653841E-05 , 1.954085E-02 ,-0.120707 , 20.93732 , 6.074301 , 6.172368E-03 , 17.54431 , 0.5073309 , 42.93056 , 17.14881 , 16.92714 , 18.25109 , 17.51263 , 17.41096 , 16.66707 , 16.79389 , 16.41615 , 16.39568 , 781.993 , 290.6943 , 13.80877 , 18.8854 , 70.87682 , 0 , 41.52638 , 0.2094149 , 0.2094149 , 23.88245 , 4.631143 
00:13:03,782.992,-4.370677E-05 , 1.970028E-02 ,-3.827542E-02 , 20.93692 , 6.086199 , 4.979747E-03 , 17.57853 , 0.4876194 , 42.93756 , 17.14454 , 16.88913 , 18.3011 , 17.50394 , 17.40226 , 16.70814 , 16.87789 , 16.52729 , 16.52508 , 782.992 , 290.7285 , 13.53865 , 19.6877 , 70.90469 , 0 , 41.52638 , 0.2094117 , 0.2094117 , 24.82095 , 4.655471 
00:13:04,783.99, 2.448305E-05 , 1.989443E-02 ,-9.568506E-02 , 20.93705 , 6.041581 , 3.172297E-03 , 17.60446 , 0.5071996 , 42.91011 , 17.09383 , 16.89721 , 18.32039 , 17.54571 , 17.38307 , 16.74792 , 16.97848 , 16.69815 , 16.54661 , 783.99 , 290.7545 , 13.80841 , 21.19502 , 70.9353 , 0 , 41.52638 , 0.2094103 , 0.2094103 , 26.45059 , 4.681055 
00:13:05,784.989,-1.37226E-05 , 1.952822E-02 ,-6.790959E-02 , 20.93676 , 6.092675 , 3.89824E-03 , 17.64146 , 0.4944158 , 42.94183 , 17.11261 , 16.86862 , 18.40263 , 17.60757 , 17.42008 , 16.73739 , 17.01992 , 16.7984 , 16.60854 , 784.989 , 290.7915 , 13.63415 , 22.13417 , 70.96754 , 0 , 41.52638 , 0.2094221 , 0.2094221 , 20.01379 , 4.704265 
00:13:06,785.987,-6.329321E-05 , 1.953295E-02 ,-3.621345E-02 , 20.93663 , 6.037761 , 3.261188E-03 , 17.58724 , 0.5036059 , 42.9286 , 17.05394 , 16.84588 , 18.47928 , 17.62334 , 17.32054 , 16.69216 , 16.97931 , 16.73511 , 16.54062 , 785.987 , 290.7372 , 13.759 , 21.31741 , 70.99796 , 0 , 41.52638 , 0.2094189 , 0.2094189 , 21.97203 , 4.725215 
00:13:07,787.001,-4.249773E-05 , 1.951401E-02 ,-0.1104062 , 20.93657 , 6.02388 , 2.083383E-03 , 17.57133 , 0.5091427 , 42.86666 , 17.08095 , 16.88875 , 18.56495 , 17.66396 , 17.29338 , 16.7531 , 16.95878 , 16.75089 , 16.52469 , 787.001 , 290.7213 , 13.83405 , 22.14015 , 71.03027 , 0 , 41.52638 , 0.2094166 , 0.2094166 , 23.29178 , 4.748164 
00:13:08,787.999,-1.855875E-05 , 1.965134E-02 ,-5.084478E-02 , 20.93681 , 5.998258 , 1.483369E-03 , 17.58876 , 0.5064137 , 42.89239 , 17.0667 , 16.96959 , 18.67268 , 17.63848 , 17.25887 , 16.75027 , 16.84298 , 16.66437 , 16.49457 , 787.999 , 290.7388 , 13.79734 , 21.673 , 71.06094 , 0 , 41.52638 , 0.2094189 , 0.2094189 , 22.32483 , 4.770927 
00:13:09,788.998,-5.99079E-05 , 1.937984E-02 ,-0.1095932 , 20.93693 , 6.076731 , 5.076046E-03 , 17.66641 , 0.5151694 , 43.02814 , 17.11049 , 17.0449 , 18.72523 , 17.73639 , 17.31389 , 16.85269 , 16.89342 , 16.7126 , 16.54522 , 788.998 , 290.8164 , 13.91796 , 23.81057 , 71.09557 , 0 , 41.52638 , 0.2094183 , 0.2094183 , 22.62171 , 4.793377 
00:13:10,789.996, 5.156553E-05 , 2.016752E-02 ,-0.1097931 , 20.93779 , 6.069321 , 5.261235E-03 , 17.73349 , 0.4551816 , 42.96145 , 17.14832 , 17.08733 , 18.7698 , 17.73349 , 17.29976 , 16.87024 , 16.81385 , 16.72777 , 16.513 , 789.996 , 290.8835 , 13.08407 , 22.46981 , 71.12734 , 0 , 41.52638 , 0.2094185 , 0.2094185 , 20.72369 , 4.815006 
00:13:11,790.995, 7.792257E-05 , 2.035852E-02 ,-2.842667E-02 , 20.93869 , 6.085798 , 2.809325E-03 , 17.70925 , 0.4632885 , 42.91787 , 17.18504 , 17.06989 , 18.82688 , 17.67997 , 17.33206 , 16.88892 , 16.71714 , 16.74885 , 16.51362 , 790.995 , 290.8593 , 13.19952 , 22.66643 , 71.15931 , 0 , 41.52638 , 0.2094185 , 0.2094185 , 20.85643 , 4.835776 
00:13:12,791.993,-2.557118E-05 , 1.974132E-02 ,-0.1037592 , 20.93827 , 6.085783 , 5.261235E-03 , 17.66854 , 0.4869743 , 42.95537 , 17.1736 , 17.06287 , 18.85151 , 17.62342 , 17.28672 , 16.78938 , 16.68303 , 16.73058 , 16.57223 , 791.993 , 290.8185 , 13.53179 , 22.61758 , 71.19093 , 2.686802 , 41.52638 , 0.2094251 , 0.2094251 , 18.31293 , 4.855321 
00:13:13,792.991,-2.484575E-05 , 1.937668E-02 ,-5.522156E-02 , 20.93701 , 6.058573 , 3.824164E-03 , 17.65954 , 0.4942104 , 42.90652 , 17.11946 , 17.08335 , 18.78183 , 17.56249 , 17.22116 , 16.64913 , 16.59493 , 16.73061 , 16.56783 , 792.991 , 290.8095 , 13.63174 , 21.24994 , 71.21969 , 2.928319 , 41.52638 , 0.2094219 , 0.2094219 , 20.13705 , 4.874508 
00:13:14,793.99,-5.458812E-05 , 1.931828E-02 ,-3.819559E-02 , 20.93593 , 6.038491 , 2.357463E-03 , 17.68059 , 0.4703408 , 42.90928 , 17.0976 , 17.05005 , 18.77324 , 17.47728 , 17.25807 , 16.5843 , 16.57748 , 16.65878 , 16.61582 , 793.99 , 290.8306 , 13.29895 , 20.02256 , 71.2459 , 4.219382 , 41.52638 , 0.2094034 , 0.2094034 , 29.76863 , 4.899436 
00:13:15,794.988, 4.171186E-06 , 2.005229E-02 ,-9.619311E-02 , 20.93723 , 6.045722 , 2.809325E-03 , 17.68092 , 0.4938181 , 42.96046 , 17.16112 , 17.10455 , 18.83905 , 17.41203 , 17.1906 , 16.49853 , 16.48046 , 16.63661 , 16.56416 , 794.988 , 290.8309 , 13.62683 , 19.83447 , 71.27155 , 5.179007 , 41.52638 , 0.2094023 , 0.2094023 , 30.26402 , 4.929391 
00:13:16,795.987, 3.488078E-05 , 2.015489E-02 ,-4.484308E-02 , 20.93645 , 6.040505 , 4.987154E-03 , 17.65993 , 0.4730929 , 42.94442 , 17.16278 , 17.17642 , 18.84071 , 17.46121 , 17.16278 , 16.49798 , 16.42792 , 16.60657 , 16.57265 , 795.987 , 290.8099 , 13.33733 , 19.48586 , 71.29638 , 13.5522 , 41.52638 , 0.2093976 , 0.2093976 , 32.13789 , 4.960562 
00:13:17,797.001, 1.287627E-05 , 2.006965E-02 ,-8.873279E-02 , 20.93637 , 6.046842 , 3.809349E-03 , 17.67079 , 0.4624651 , 42.95739 , 17.14435 , 17.17144 , 18.83574 , 17.45163 , 17.10363 , 16.42754 , 16.42514 , 16.56545 , 16.58573 , 797.001 , 290.8208 , 13.18692 , 18.6286 , 71.31972 , 16.80914 , 41.52638 , 0.2094124 , 0.2094124 , 24.40565 , 4.989229 
00:13:18,797.999, 8.662765E-05 , 2.022119E-02 ,-9.444569E-02 , 20.93605 , 6.066506 , 4.801965E-03 , 17.74213 , 0.4200931 , 42.97641 , 17.29034 , 17.3084 , 18.9274 , 17.59076 , 17.11403 , 16.47408 , 16.41969 , 16.58489 , 16.61199 , 797.999 , 290.8921 , 12.56984 , 19.62181 , 71.34447 , 18.92758 , 41.52638 , 0.2094161 , 0.2094161 , 21.68033 , 5.012227 
00:13:19,798.997,-2.847287E-05 , 1.995442E-02 ,-3.859688E-02 , 20.93591 , 6.087084 , 5.527908E-03 , 17.78509 , 0.488303 , 42.96529 , 17.34677 , 17.32872 , 18.88001 , 17.58861 , 17.11169 , 16.51931 , 16.33824 , 16.4876 , 16.5713 , 798.997 , 290.9351 , 13.55295 , 20.66041 , 71.37106 , 18.49246 , 41.52638 , 0.2094177 , 0.2094177 , 22.47428 , 5.034259 
00:13:20,799.996, 2.962146E-06 , 1.981077E-02 ,-0.1007872 , 20.93709 , 6.141119 , 7.216836E-03 , 17.77288 , 0.4634086 , 43.01086 , 17.36845 , 17.31651 , 18.81375 , 17.60568 , 17.10629 , 16.53419 , 16.38503 , 16.47777 , 16.53419 , 799.996 , 290.9229 , 13.20268 , 20.0302 , 71.39627 , 19.48155 , 41.52638 , 0.2094217 , 0.2094217 , 19.44146 , 5.055195 
00:13:21,800.994, 2.061412E-05 , 2.006176E-02 ,-9.368052E-02 , 20.93677 , 6.023833 , 5.350126E-03 , 17.70663 , 0.4677119 , 42.95932 , 17.32041 , 17.23899 , 18.68208 , 17.50571 , 17.09436 , 16.511 , 16.40461 , 16.54032 , 16.511 , 800.994 , 290.8566 , 13.26233 , 19.04856 , 71.4194 , 20.16216 , 41.52638 , 0.2094217 , 0.2094217 , 19.47181 , 5.074614 
00:13:22,801.993, 9.490959E-06 , 1.994968E-02 ,-3.511252E-02 , 20.93632 , 6.103299 , 5.239012E-03 , 17.69264 , 0.4460742 , 42.97447 , 17.29279 , 17.19791 , 18.63886 , 17.51658 , 17.05769 , 16.57387 , 16.55802 , 16.76835 , 16.62586 , 801.993 , 290.8427 , 12.95161 , 19.93189 , 71.44409 , 21.65074 , 41.52638 , 0.2094219 , 0.2094219 , 19.25058 , 5.093955 
00:13:23,802.991, 4.213502E-05 , 1.998914E-02 ,-0.1137462 , 20.93654 , 6.034192 , 3.994539E-03 , 17.73049 , 0.4932262 , 42.954 , 17.26046 , 17.19505 , 18.54347 , 17.48206 , 17.00509 , 16.58005 , 16.5642 , 16.86502 , 16.63425 , 802.991 , 290.8805 , 13.61982 , 20.62509 , 71.46994 , 20.35239 , 41.52638 , 0.2094219 , 0.2094219 , 20.21401 , 5.113649 
00:13:24,803.989,-3.427627E-05 , 1.974132E-02 ,-4.545788E-02 , 20.93677 , 6.048088 , 3.083406E-03 , 17.75323 , 0.4431308 , 42.94093 , 17.2517 , 17.09565 , 18.53013 , 17.52745 , 17.07078 , 16.62088 , 16.64356 , 16.88557 , 16.6502 , 803.989 , 290.9032 , 12.91015 , 20.00897 , 71.49442 , 19.92635 , 41.52638 , 0.209416 , 0.209416 , 22.27081 , 5.134849 
00:13:25,804.988, 1.269492E-06 , 0.0195882 ,-5.795242E-02 , 20.93671 , 6.075075 , 3.720458E-03 , 17.73254 , 0.4493605 , 42.97586 , 17.28739 , 17.1201 , 18.5137 , 17.51782 , 17.03423 , 16.63852 , 16.61142 , 16.75834 , 16.59317 , 804.988 , 290.8825 , 13.00012 , 19.51264 , 71.51781 , 15.26015 , 41.52638 , 0.2094148 , 0.2094148 , 22.7341 , 5.157328 
00:13:26,806.002,-5.192824E-05 , 0.0195298 ,-8.741431E-02 , 20.93673 , 6.057549 , 4.083429E-03 , 17.71064 , 0.486766 , 42.95224 , 17.30858 , 17.14351 , 18.46495 , 17.51635 , 17.02834 , 16.63484 , 16.69143 , 16.86543 , 16.62581 , 806.002 , 290.8606 , 13.52987 , 20.98338 , 71.54426 , 10.5337 , 41.52638 , 0.2094085 , 0.2094085 , 27.37488 , 5.182734 
00:13:27,807, 4.286044E-05 , 2.014858E-02 ,-2.520444E-02 , 20.93739 , 6.081896 , 3.994539E-03 , 17.73246 , 0.4611652 , 42.94692 , 17.38899 , 17.14268 , 18.50699 , 17.56525 , 17.03194 , 16.66112 , 16.79457 , 17.23093 , 16.78333 , 807 , 290.8825 , 13.16977 , 23.07323 , 71.5741 , 12.19486 , 41.52638 , 0.2094051 , 0.2094051 , 27.90791 , 5.21032 
00:13:28,807.999, 7.260281E-05 , 2.009175E-02 ,-0.1166891 , 20.93707 , 6.044829 , 4.898264E-03 , 17.72534 , 0.4909638 , 43.01749 , 17.40451 , 17.18751 , 18.59922 , 17.56034 , 17.01799 , 16.6608 , 16.91847 , 17.25309 , 16.80329 , 807.999 , 290.8753 , 13.58843 , 24.79774 , 71.60706 , 18.26086 , 41.52638 , 0.2094011 , 0.2094011 , 30.88342 , 5.239686 
00:13:29,808.997,-5.507174E-05 , 1.925671E-02 ,-7.745404E-02 , 20.93522 , 6.041838 , 2.350056E-03 , 17.7222 , 0.5478199 , 42.9632 , 17.37651 , 17.15507 , 18.65238 , 17.50084 , 17.04876 , 16.62817 , 17.00361 , 17.32235 , 16.77969 , 808.997 , 290.8722 , 14.35361 , 26.41229 , 71.64281 , 27.24134 , 41.52638 , 0.2094109 , 0.2094109 , 27.35422 , 5.268747 
00:13:30,809.995,-4.298134E-05 , 1.968607E-02 ,-4.964068E-02 , 20.93511 , 6.060255 , 2.994515E-03 , 17.77886 , 0.6461301 , 42.9967 , 17.36541 , 17.13715 , 18.62106 , 17.47611 , 17.04226 , 16.6895 , 17.06032 , 17.3247 , 16.71439 , 809.995 , 290.9289 , 15.58994 , 28.54307 , 71.68233 , 20.25913 , 41.52638 , 0.2094057 , 0.2094057 , 19.16027 , 5.291957 
00:13:31,810.994,-2.847287E-05 , 1.972237E-02 ,-0.124591 , 20.93464 , 6.030315 , 2.446354E-03 , 17.84192 , 0.5133719 , 42.99408 , 17.38779 , 17.13466 , 18.55989 , 17.42168 , 17.06225 , 16.71853 , 17.10518 , 17.23397 , 16.66655 , 810.994 , 290.9919 , 13.89785 , 24.96486 , 71.71484 , 23.59464 , 41.52638 , 0.2094057 , 0.2094057 , 16.5996 , 5.30982 
00:13:32,811.992, 1.166723E-05 , 0.019926 ,-0.0427873 , 20.935 , 6.02262 , 3.676013E-03 , 17.84114 , 0.4303651 , 43.02018 , 17.41408 , 17.16115 , 18.57272 , 17.52938 , 17.11803 , 16.74964 , 17.13388 , 17.19505 , 16.69526 , 811.992 , 290.9911 , 12.72476 , 23.72016 , 71.74474 , 24.04694 , 41.52638 , 0.2094151 , 0.2094151 , 10.97344 , 5.323578 
00:13:33,812.991, 2.665932E-05 , 2.004281E-02 ,-5.750657E-02 , 20.93612 , 6.08722 , 4.17232E-03 , 17.86642 , 0.4329639 , 43.01176 , 17.36938 , 17.16821 , 18.62042 , 17.67216 , 17.14554 , 16.79301 , 17.15918 , 17.10261 , 16.63467 , 812.991 , 291.0164 , 12.76367 , 24.08922 , 71.77517 , 25.15536 , 41.52638 , 0.2094031 , 0.2094031 , 16.86326 , 5.337483 
00:13:34,813.989, 1.98887E-05 , 2.034747E-02 ,-7.478441E-02 , 20.93649 , 6.052636 , 5.016785E-03 , 17.81884 , 0.4494783 , 43.00719 , 17.40983 , 17.21548 , 18.6564 , 17.72383 , 17.21106 , 16.82667 , 17.1206 , 17.07085 , 16.66612 , 813.989 , 290.9688 , 13.00375 , 25.29218 , 71.80762 , 26.13169 , 41.52638 , 0.2094069 , 0.2094069 , 15.09353 , 5.353429 
00:13:35,814.987, 6.589264E-06 , 2.006649E-02 ,-2.486606E-02 , 20.93665 , 6.050407 , 2.624136E-03 , 17.89563 , 0.441107 , 42.95201 , 17.46878 , 17.22691 , 18.54364 , 17.70377 , 17.21568 , 16.84934 , 17.123 , 17.07325 , 16.57801 , 814.987 , 291.0456 , 12.88379 , 24.68114 , 71.8387 , 19.65749 , 41.52638 , 0.2093984 , 0.2093984 , 19.351 , 5.370617 
00:13:36,816.001, 3.077005E-05 , 1.970186E-02 ,-0.1238168 , 20.93705 , 6.102657 , 4.446401E-03 , 17.87963 , 0.4555901 , 43.00703 , 17.46604 , 17.20169 , 18.52085 , 17.62645 , 17.21533 , 16.8807 , 17.12947 , 17.01191 , 16.57987 , 816.001 , 291.0296 , 13.09323 , 24.60507 , 71.8699 , 21.98851 , 41.52638 , 0.2094016 , 0.2094016 , 17.53689 , 5.389318 
00:13:37,817, 3.681525E-05 , 1.989601E-02 ,-6.738606E-02 , 20.93707 , 6.083992 , 3.535269E-03 , 17.87704 , 0.4341907 , 42.98898 , 17.47247 , 17.233 , 18.68512 , 17.66456 , 17.20131 , 16.91423 , 17.18565 , 16.94371 , 16.53672 , 817 , 291.027 , 12.78197 , 24.65681 , 71.90054 , 24.36529 , 41.52638 , 0.2093871 , 0.2093871 , 24.38994 , 5.410262 
00:13:38,817.998,-7.677399E-06 , 1.981867E-02 ,-3.643339E-02 , 20.93707 , 6.040942 , 4.076022E-03 , 17.86143 , 0.4234004 , 42.97604 , 17.45041 , 17.21075 , 18.77584 , 17.77342 , 17.20393 , 16.86045 , 17.14295 , 16.95076 , 16.51205 , 817.998 , 291.0114 , 12.62181 , 24.48329 , 71.9306 , 23.2451 , 41.52638 , 0.2093795 , 0.2093795 , 28.08229 , 5.436445 
00:13:39,818.997,-5.984743E-06 , 1.950138E-02 ,-0.1218649 , 20.93648 , 6.046301 , 3.676013E-03 , 17.86672 , 0.4399174 , 42.95218 , 17.44207 , 17.2002 , 18.76071 , 17.79215 , 17.17754 , 16.8182 , 17.01944 , 16.89044 , 16.50389 , 818.997 , 291.0167 , 12.86576 , 24.09183 , 71.95974 , 22.53898 , 41.52638 , 0.2093824 , 0.2093824 , 27.93625 , 5.464427 
00:13:40,819.995,-4.15305E-05 , 1.969396E-02 ,-7.569256E-02 , 20.93636 , 6.061225 , 4.898264E-03 , 17.91533 , 0.4267416 , 43.03514 , 17.38663 , 17.21494 , 18.78665 , 17.72329 , 17.18104 , 16.83294 , 17.0364 , 16.83055 , 16.59091 , 819.995 , 291.0653 , 12.67269 , 23.66111 , 71.98784 , 21.26926 , 41.52638 , 0.2093813 , 0.2093813 , 27.69926 , 5.492188 
00:13:41,820.993, 1.045819E-05 , 2.007281E-02 ,-4.937236E-02 , 20.93777 , 6.106445 , 6.898311E-03 , 17.95333 , 0.4292282 , 43.04622 , 17.38855 , 17.24155 , 18.76594 , 17.76811 , 17.25739 , 16.84611 , 17.11055 , 16.91614 , 16.62897 , 820.993 , 291.1033 , 12.71039 , 24.77981 , 72.01785 , 20.8925 , 41.52638 , 0.2093813 , 0.2093813 , 27.67411 , 5.519819 
